,text,name
Q1060139," is a Japanese actress.  Career Ando won the award for best supporting actress at the 31st Yokohama Film Festival 2010 for Love Exposure, Kuhio taisa and Tsumitoka batsutoka. She was also nominated fo",Sakura Ando
Q1065644,"TiA (born June 11, 1987 in Yokohama, Japan) is a Japanese singer, famous for her songs ""Ryuusei"" (part of the Naruto ending themes repertoire) and ""Every Time"". Her August 2005 single ""Promise"", is us",TiA
Q1070511," is a Japanese voice actress and singer, born on 30 January 1986 in Tottori Prefecture. Her better known roles include the Futami twins in The Idolmaster, and the Kagamines Rin and Len in the Vocaloid",Asami Shimoda
Q1073980, is a Japanese adult video (AV) actress and a former Japanese pop singer.  Life and career Uehara debuted in 2001 with the song  which was featured on the anime Detective Conan as its 13th ending song,Azumi Uehara
Q1074012," is a Japanese actress and voice actress. From 2001-2003, she was known as ""Mini Stop-chan"", acting as the mascot for the Mini Stop convenience store chain commercials in Japan. She is the owner of a ",Marika Matsumoto
Q1074055,", formerly known by the mononym  is a Japanese singer-songwriter. She debuted in 2002 with the independently released single . She is most well known for singing the ending theme song for the anime ad",Kurumi Enomoto
Q1074086,"Michiko Sellars (born 7 April 1985), known by her stage name MiChi, is a Japanese-British pop singer. She began her career as an independent artist, but later signed to Sony Music Entertainment.   Bio",MiChi
Q1074100," is a singer and a former member of the Japanese all-girl pop group AKB48.  As an AKB48 member Oshima passed the first AKB48 audition in December, 2005 along with 23 other girls. She was assigned to T",Mai Oshima
Q1074319," is a Japanese actress and commercial model.  Career From April 2004 to March 2005, Kato was a regular guest student on Italian Conversation,NHK Italian TV Conversation a 25-minute NHK TV program for ",Rosa Kato
Q1075055," is a Japanese stage and screen actor from Tochigi Prefecture.  Nakagawa was affiliated with the acting group D-BOYS, produced by Watanabe Entertainment. He joined D-BOYS on the group's second open au",Shingo Nakagawa
Q1077881," is a Japanese singer-songwriter.   Biography  Abe started learning the piano from age three, and from junior high school she wanted to be a singer. She gave up the piano in favour of the guitar, want",Mao Abe
Q1078503," (born March 12, 1986) is a Japanese actress. Her birth name in kanji is , but she transformed her given name into hiragana characters.  Filmography  Movie Dark Water (2002) Godzilla: Tokyo S.O.S. (20",Chihiro Otsuka
Q1080180,"Song Hye-kyo (; born November 22, 1981) is a South Korean actress. She gained popularity through television dramas such as Autumn in My Heart (2000), All In (2003), Full House (2004), and That Winter,",Song Hye-kyo
Q10855140,"Kang We-seok (Korean:강의석, Hanja:姜義錫, born 25 August 1986) is a South Korean an activist for civil and human rights activist who promotes pacifism,""대광고 강의석군, 퇴학에서 승소까지 국민일보""] Kuki news website 23 April",Kang We-seok
Q1087565," is a retired female Japanese popular music singer. She was affiliated with the Giza Studio recording label for her four-year career.   Discography    Singles    (June 25, 2003) #15, 21,000 copies sol",Hayami Kishimoto
Q1091554,", is a Japanese idol singer, dancer, actress, television host, and model. She is best known as being a member of the Japanese idol girl group AKB48, where she had served as the captain of Team K and h",Sayaka Akimoto
Q1091945,", (born March 25, 1985 in Osaka) is a Japanese trans woman, and award-winning model and former adult video (AV) actress.  Life and career Hime Tsukino was born in Osaka, Japan on March 25, 1985. Her s",Hime Tsukino
Q10919869,"                                                              Lee Gi-kwang (, Hanja: ; born on March 30, 1990) is a South Korean idol, singer, dancer and actor. He was a solo singer under Cube Enterta",Lee Gi-kwang
Q1092007," (born Tokyo, 28 June 1988) is a Japanese film and television actor.   Television roles   Gaku Hamada was a regular cast member of Fuji TV's Operation Love, appearing in all 11 episodes aired (2007), ",Gaku Hamada
Q1092015,"Maki Nishiyama (西山茉希, Nishiyama Maki; born November 16, 1985) is a Japanese model, and actress. Also called Maki-chan by her fans, Nishiyama has been best known for her modeling work with the Japanese",Maki Nishiyama
Q1092037," is a Japanese gravure model, AV idol and pink film actress. First coming to prominence as an AV actress, Kaoru successfully made the transition to the theatrically released softcore pink film genre. ",Sakurako Kaoru
Q1093071,"Aki Maeda (前田亜季 Maeda Aki, born 11 July 1985 in Tokyo, Japan) is a Japanese actress and singer. She has an older sister named Ai Maeda.  She is perhaps best known in the west for her role as Noriko Na",Aki Maeda
Q1094926,"José Ron (born Edgar Jose Ron Vazquez, August 8, 1981 in Guadalajara, Jalisco, Mexico) is a Mexican actor known for his performances in telenovelas, series and theater. Ron promotes the animal rights,",José Ron
Q1096352,"Ilean Almaguer (() Born Ilean Almaguer Ochoa in December 20, 1987 in Tuxtla Gutiérrez, Chiapas, Mexico) ís a Mexican actress best known for her roles in telenovelas and dozens of TV commercials. She p",Ilean Almaguer
Q10996430,Takuya Ide (井出 卓也)  Kapanganakan: 12 Marso 1991  Tirahan: Tokyo  Ahensiya: Space Craft Group  Dugo: AB  Taas: 167 cm  Si Takuya Ide Sinimulan ang karera sa syobis nang una siyang magmodelo sa isang ma,Takuya Ide
Q11031400,"Joseph Bitangcol (born March 28, 1984) is a Filipino television and film actor. He is one of the first batch of the reality talent search Star Circle Quest on ABS-CBN.  Career  Joseph started when he ",Joseph Bitangcol
Q11031793,"Katherine Grace Cosme Abad (born May 17, 1982), better known as Kaye Abad, is an American-born Filipino actress. She is the sister of former child star Sarah Jane Abad-Contreras, who is now married to",Kaye Abad
Q11033517,"Stephan Andrei Anlocotan, who is better known by his screen name Prince Stefan (born February 13, 1986 in Iloilo City, Philippines), is a Filipino actor of Arabian-Filipino descent.  He appeared on St",Prince Stefan (actor)
Q11034228,"Megan Lynne Young (born February 27, 1990) is a Filipino American actress, a model, a VJ, a host and a beauty queen. She won the Miss World Philippines  title and was later crowned as Miss World 2013 ",Megan Young
Q1114127,"Minami Hinase (美波 みなみ Hinase Minami), more popularly known in Japan as Minami (みなみ), is a half-Japanese, half-French model and actress.  Biography Hinase was born in Tokyo, Japan on 22 September 1986.",Minami Hinase
Q1114161," is a Japanese gravure idol and singer originally from Gifu city, Gifu Prefecture, Japan.   Appearance   Television   Variety   London Hearts（TV Asahi network）  S.B.S.T（TV Tokyo network）  Akko ni Omak",Yoko Kumada
Q11213066,"Ritz Azul (born Ritz Ann Riggie V. Alzul Bisenio on January 11, 1994), is a Filipina actress, television host and commercial model.  Early life and career Although born in Pampanga, Azul later moved t",Ritz Azul
Q112536,"Joey Lynn King (born July 30, 1999) is an American teen actress. She is known for her starring role as Ramona Quimby in Ramona and Beezus, the 2010 adaption of Beverly Cleary's book series with the sa",Joey King
Q11259379,Si  Tasuku Emoto  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Tasuku Emoto
Q11286857," is a Japanese singer, songwriter, lyricist, actor, and voice actor.  Music Since 2000, Hoshino has led the instrumental band Sakerock, where he plays marimba and guitar. They released over ten albums",Gen Hoshino
Q1130586," is a member of a Japanese pop group w-inds. originating from Sapporo, Japan. He rose to fame as the group's back-up dancer, back-up vocalist, and rapper.   Early life  Ogata began taking dance classe",Ryuichi Ogata
Q1130801, is a Japanese gravure idol and actress.http://www.horiagency.co.jp/web_data/talentfiles/mitsuya_1.htmlhttp://yaplog.jp/mitsuya/   Biography Yoko Mitsuwa was born in Tokyo but moved to Saitama shortly,Yoko Mitsuya
Q1134047,", better known by his stage name , is a Japanese actor from Osaka Prefecture. He made his acting debut in the television series Kamen Rider W as Philip.  Filmography  Film  Kamen Rider Decade: All Rid",Masaki Suda
Q1134059, is a Japanese stage and television actor from Yokohama. His debut role was as Bunta Marui in The Prince of Tennis musical Absolute King Rikkai feat. Rokkaku ~ First Service. Kiriyama is also known fo,Renn Kiriyama
Q1135340," is a Japanese voice actress, actress, singer and songwriter affiliated with Production Ace  Filmography  Anime cast in 2009 Suzumiya Haruhi no Yūutsu (Primary school girl) Sora no Otoshimono (Nymph) ",Iori Nomizu
Q1135356," is a Japanese pop singer and former member of Hello! Project.  Biography You Kikkawa was born on May 1, 1992 in Ibaraki Prefecture. From April 7, 2007 until 2010, Hello! Project's official site liste",You Kikkawa
Q1135649," is a Japanese child actress, tarento and singer from Nishinomiya, Hyogo Prefecture.  Ashida's first appearance was in Asahi Broadcasting Corporation's ABC Short Movie 2, though she rose to prominence",Mana Ashida
Q1136362," is a Japanese actor.  Biography Moriyama started training in dance when he was 5 years old. He trained in jazz dance, tap dance, ballet and hip-hop, and he appeared in several stage roles. He officia",Mirai Moriyama
Q1136373," is a Japanese actress, model and singer.  History Originally an aspiring model, when Takei entered junior high school, she declared to her parents that she would become a model within her three years",Emi Takei
Q1136375," is a Japanese actress, gravure idol, and J-Pop singer. She plays the role of Moune/GoseiYellow in the thirty-fourth Super Sentai series, Tensou Sentai Goseiger.""Canary Club’s Niwa Mikiho to Star in T",Mikiho Niwa
Q1137007, is a Japanese actress and gravure idol signed under Box Corporation. She debuted in 2008 in the TV Asahi's tokusatsu series Engine Sentai Go-onger as Saki Rōyama/Go-on Yellow.   She is ranked 249th o,Rina Aizawa
Q1137510," is a Japanese idol, model, actress, singer, voice actress and occasional radio show host.  She is particularly recognized for her beauty and her movie projects.   Career  Aragaki won the Film prize a",Yui Aragaki
Q1138316, is a Japanese actor. He started acting at the age of three in education programs. He is currently studying at Hosei University Business Faculty. He is frequently cast as geeky or otaku characters. It,Atsushi Itō
Q1138320," (born July 1, 1994) is a Japanese fashion model and actress.  Filmography  Dramas Garo (2005) 1 Litre of Tears (2005) Koisuru Nichiyobi 3rd Series (2007; episode 25 ""Sanshimai"") - starring Sexy Voice",Anri Okamoto
Q11384473,Si  Takahiro Sato  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Takahiro Sato
Q1138534," is a Japanese actress. She grew up in Ibaraki, Osaka.  She made her debut in 1997 at age of thirteen in an advertisement for Asahi Kasei's ""Hebel Haus"". In 2000, she won the Grand Prix at the “3rd Mi",Asami Mizukawa
Q1138669," is a Japanese entertainer/model. She was Miss Magazine 2003. Iwasa was awarded the Graph Prize, the 42nd Golden Arrow Awards (2004) in March 2005.  In June 2005, Iwasa recorded a duet with Naoya Ogaw",Mayuko Iwasa
Q1138703,"Craig Mikel Wayans (born March 27, 1976) is an American writer, television producer, and actor. He is the nephew of Keenen Ivory Wayans, Damon Wayans, Sr., Kim Wayans, Shawn Wayans and Marlon Wayans. ",Craig Wayans
Q1139496," is a Japanese actor, voice actor and singer, famous for his role as Ryo Shishido in the Prince of Tennis Musicals. He was hospitalized on April 21, 2007 and was unable to play the role of Minami Itsu",Kenta Kamakari
Q1139721," is a Japanese actor known for his role as Mirai Hibino/Ultraman Mebius in the 2006-2007 tokusatsu series Ultraman Mebius. Igarashi was affiliated with the acting unit D-BOYS, produced by Watanabe Ent",Shunji Igarashi
Q1139729," is a Japanese gravure idol, actress and TV personality.  Life and career Minase Yashiro was born on February 3, 1985 in Gifu Prefecture, Japan. She debuted as a gravure (swimsuit) model in 2006, rele",Minase Yashiro
Q1139798," is a Japanese singer-songwriter and musician from Yao, Osaka, Japan, who debuted in 2008.Profile: Shōta Shimizu. shimizushota.com. Accessed March 26, 2008. On June 1, 2008, Shimizu performed at Centr",Shota Shimizu
Q1139872," is a Japanese voice actor, actor and singer.  Voice roles Bold denotes leading roles.  Anime 2001  The Prince of Tennis (Kentarou Aoi)  2003  Futatsu no Spica (Shinnosuke Fuchuuya)  2004  Get Ride! A",Toshiyuki Toyonaga
Q1139912," is a Japanese actor and voice actor. He was formerly represented by Gekidan Himawari and is now represented by Amino Produce. In Japan, he is most well known for voicing Harry Potter in the Japanese ",Kenshō Ono
Q1140329,"George Hu () born on July 24, 1982 in New York City, New York. George Hu's profile Retrieved 2010-12-17 is an American actor and singer based in Taiwan. He speaks fluent Taiwanese, Mandarin, and Engli",George Hu
Q11411204," is a Japanese actor. He played the leading role as Naoki Irie in the 2013 television series Mischievous Kiss: Love in Tokyo and its upcoming sequel, Mischievous Kiss 2: Love in Tokyo.  Career Born in",Yuki Furukawa
Q1141558," is a Japanese singer, actor, and dancer in the Japanese agency Johnny & Associates. He joined Johnny & Associates in 1995 and officially debuted in 2002 in the duo Tackey & Tsubasa with Hideaki Takiz",Tsubasa Imai
Q1141910," is a member and the leader of Cute, a girl idol group within Hello! Project.  Career Yajima first joined Hello! Project in 2002 as one of the fifteen children chosen from the Hello! Project Kids audi",Maimi Yajima
Q1142098,"(born January 20, 1983) is a Japanese pop artist, actress and TV personality and former member of Hello! Project. She is a former member of Japanese idol group Morning Musume and sub-group Tanpopo, on",Mari Yaguchi
Q1142119, is a former leader of the idol pop group Morning Musume and current member of the pop duo Hangry & Angry as Hangry. She is the current leader of the Hello! Project futsal team Gatas Brilhantes H.P. a,Hitomi Yoshizawa
Q1142423," is a Japanese singer and actress, a former member of Morning Musume, and currently a member of Dream Morning Musume.  Career On August 13, 2003, she released her first single, ""22 Sai no Watashi,"" wh",Natsumi Abe
Q1142789," (born February 26, 1985), professionally known by her birth name of , and nicknamed Mikitty, is a Japanese pop singer and television actress. After failing the audition to join girl group Morning Mus",Miki Fujimoto
Q1143670," is a Japanese actor. Matsuda is best known for his roles in the Hana Yori Dango series, the Liar Game series, and Love Shuffle.  Early life Matsuda was born in Suginami, Tokyo, Japan on September 10,",Shota Matsuda
Q1143678,"right|thumb|200px|Autograph of Airi Suzuki.  is a Japanese pop singer and currently member of the idol groups Cute, Buono!,and Dia Lady. Both of her parents, Tōru and Kyoko Suzuki, are professional go",Airi Suzuki
Q1143680," (born December 28, 1987 in Yao, Osaka, Japan) is a former member of Japanese idol pop group v-u-den that was associated with Hello! Project. She remained within the group until its disbandment in 200",Yui Okada
Q1143698," is a voice actress and singer from Kanazawa, Ishikawa, Japan.Doi, Hitoshi. ""Shintani Ryouko"". Seiyuu Database. July 30, 2010. Archived by WebCite July 31, 2010.Nakagami, Yoshikattsu; Yoshida, Moichi;",Ryōko Shintani
Q1143736," (born February 22, 1984) is a Japanese female singer. She is a member of Melon Kinenbi, an all-girl J-pop group which is part of the Hello! Project. She joined the group Tanpopo with Morning Musume m",Ayumi Shibata
Q1144033,{{Infobox person | Playing Guitar 2nd from the right  |caption = Yuu in Linda Linda Linda 2nd from the left playing bass | name                    = Yuu Kashii | birth_name               = Yuuko Kashi,Yuu Kashii
Q1144841," is a Japanese actor, known for his break-out performance in the controversial movie Battle Royale.  Career His break-out performance was in the controversial movie Battle Royale, in which he played t",Sousuke Takaoka
Q1144858," is a Japanese actor and singer. He is best known for his role as Ryoma Echizen in the Prince of Tennis musical series, Tenimyu. He was also part of a young men's stage acting troupe, D-BOYS, which pe",Yuya Endo
Q11451487,Si  Nagisa Adaniya  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Nagisa Adaniya
Q1145232," is a Japanese pop singer and former member of the Hello! Project-associated trio v-u-den.   History  In July 2003, Erika successfully passed the Tsunku♂ Produce Hello! Project Shin Unit Audition. In ",Erika Miyoshi
Q11456904,Si  Ryo Tomioka  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Ryo Tomioka
Q11459,"Serena Jameka Williams (born September 26, 1981) is an American professional tennis player who is currently ranked No. 1 in women's singles tennis. The Women's Tennis Association has ranked her World ",Serena Williams
Q11466560,Si  Ayumi Yamaguchi  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Ayumi Yamaguchi
Q11478711,Si  Takanori Kawamoto  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Takanori Kawamoto
Q1148822,"Todd Joseph ""T. J."" Miller (born June 4, 1981) is an American actor and stand-up comedian. He currently stars in the HBO comedy series Silicon Valley.  Life and career Miller was born in Denver, Color",T.J. Miller
Q1148827," is a Japanese actress and model.  Filmography  Films {| border=""2"" cellpadding=""4"" cellspacing=""0"" style=""margin: 1em 1em 1em 0; background: #f9f9f9; border: 1px #aaa solid; border-collapse: collapse",Riko Narumi
Q1149840, is a French-Japanese actor and musician from Tokyo. His most notable roles to date are as Kitazaki/Dragon Orphnoch in the 2003 series Kamen Rider 555 and Rei Suzumura/ZERO the Silver Fanged Knight in,Ray Fujita
Q1150592," is a Chinese Japanese (中国系日本人) actor in Japan. Of mixed Chinese and Japanese descent (his grandmother was Japanese), he is able to speak both Mandarin and Japanese fluently.  Abe's original name was ",Tsuyoshi Abe
Q1150617,", is a former member of the Japanese idol girl group AKB48. She was in Team K and her talent agency was Ohtapro. She was also part of AKB48 subgroups ""Honegumi from AKB48"", ""AKBIdoling!!"" and ""ICE fro",Erena Ono
Q1151148," is a Japanese actor and singer.  Career Yamada played a leading role in the 2005 film, Densha Otoko. He has also appeared in the films such as Vengeance Can Wait, 13 Assassins, Milocrorze, and Lesson",Takayuki Yamada
Q1151171," is a Japanese stage, film and television actress from Tokyo.  She played the role of Yaten Kou in the Sailor Moon musicals and starred in the comedy series Yasuko to Kenji and Deka Wanko. She is affi",Mikako Tabe
Q1151442, is a member of the Hello! Project group Country Musume.  Her husband is Japanese baseball player Masahiro Tanaka.   Biography  Satoda was discovered by Tanaka during baseball game in Japan. She is al,Mai Satoda
Q1151447,"   is a Japanese tarento, who is part of Johnny's Jr. under the supervision of Johnny & Associates. Ikuta is known for his roles in Hanazakari no Kimitachi e and Honey & Clover. He also stars in featu",Toma Ikuta
Q11517645,Si  Eri Asahina  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Eri Asahina
Q11529604,Si  Yasuka Matsuo  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Yasuka Matsuo
Q1153557," is a Japanese pop rock singer from Shiogama, Miyagi. With her first single ""Bokutachi no Yukue"" released in 2005, she became the third artist in History of Japan to top the charts with a debut single",Hitomi Takahashi (singer)
Q1154155," is a Japanese actor and singer. He was born in Osaka, Japan.  He was a past member of many Johnny's Jr. groups such as Top Kids and 7 West. He released his debut CD single in 2009 as part of Yuma Nak",Yuma Nakayama
Q1154184," is a Japanese idol, singer, actor and songwriter. He is a member of Japanese boy band Kanjani Eight and was also a member of Japanese male idol group NEWS, both which are under the management of John",Ryo Nishikido
Q1154201," (born June 22, 1988) is a Japanese fashion model and actress from Toyama, Toyama Prefecture. She is best known as Natsumi Hikari, the female lead in the Kamen Rider Decade television series and films",Kanna Mori
Q1154210," is a Japanese actress and singer. She is a former member of the Japanese idol girl group AKB48. Her talent agent is Horipro. She was the first member of AKB48 to get a solo debut, in 2011 with a sing",Tomomi Itano
Q1154232," is a Japanese singer and actress known for her work in the Japanese idol group AKB48. Maeda was one of the most prominent members in the group, and placed first among all AKB48 and sister group candi",Atsuko Maeda
Q1154236," is a Japanese actress, songstress, and fashion model.  Katase portrayed Kiyomi Takada in Death Note: The Last Name. She also released a number of albums. ""Fantasy"" was one of her songs and it was in ",Nana Katase
Q1154241, is a Japanese actor. He is best known for his roles as Sekime Kyogo in the drama Hanazakari no Kimitachi e and as Takuma Kakinouchi in the 2009 film I Give My First Love to You.  Filmography  Films  ,Masaki Okada
Q1154288,", born December 7, 1991 is a Japanese actor and singer. He is best known for his role as Ryoma Echizen as part of the third generation Seigaku cast in The Prince of Tennis musicals, Tenimyu.   Stages ",Dori Sakurada
Q1154775," is a Japanese actress.  She has starred in many Japanese television dramas, including Liar Game, Code Blue, Ryusei no Kizuna, and Keizoku 2: SPEC. She has also had supporting roles in many other popu",Erika Toda
Q1155169," is a Japanese model, actress, and occasional radio show host affiliated with Ken-On Group.  Biography She was born in Izumi, Kagoshima, Kyushu, and raised in Sagamihara, Kanagawa.  While a junior hig",Nana Eikura
Q1155343," (born February 7, 1988 in Yamatotokada, Nara, Japan) is a Japanese singer, actress, author and former Guinness World Record holder.  At age 12, Kago won the 4th National Audition of Morning Musume he",Ai Kago
Q1155725," is a Japanese pop singer, idol, and member of the musical group Berryz Kobo.   History  In 2002, Sugaya successfully passed the Hello! Project Kids Audition. Her debut within the Hello! Project world",Risako Sugaya
Q11557265,Si  Himeka Asami  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Himeka Asami
