,text,name
Q11571,"Cristiano Ronaldo dos Santos Aveiro, GOIH (; born 5 February 1985), known as Cristiano Ronaldo, is a Portuguese professional footballer who plays as a forward for Spanish club Real Madrid and captains",Cristiano Ronaldo
Q11666,"Maria Yuryevna Sharapova (;  born 19 April 1987) is a Russian professional tennis player who as of October 6, 2014 is ranked world No. 2 by the Women's Tennis Association (WTA) and is the top Russian ",Maria Sharapova
Q11745,"Arfa Abdul Karim Randhawa (, 2 February 1995 – 14 January 2012) was a Pakistani student and computer prodigy who, in 2004 at the age of nine, became the youngest Microsoft Certified Professional (MCP)",Arfa Karim
Q118123,"Taylor Vixen (born October 25, 1983) is a former American pornographic actress. She debuted in the adult film industry in March 2009, and her appearance in Penthouse magazine's 40th anniversary editio",Taylor Vixen
Q11838251,"Presley Hart (born December 1, 1988) is the stage name of an American pornographic actress.  Early life Hart was born in Anaheim, California and she is of Italian descent. Her mother worked in real es",Presley Hart
Q11838340,"Adrianna Luna (born May 12, 1984) is the stage name of an American pornographic actress, model, and men's club feature dancer. Luna is the Penthouse Pet of the Month for November 2012.  Career A forme",Adrianna Luna
Q11838371,"Madelyn Marie (born January 29, 1987 in West Point, New York) is an American former pornographic actress. She is best known for her portrayal of ""Katwoman"" in the film BatfXXX: Dark Night Parody.  Ear",Madelyn Marie
Q11838439,سینسی پرل (لاطینی: Sensi Pearl) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1988ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات,سینسی پرل
Q11838475,"Bonnie Rotten (born May 9, 1993) is an American pornographic actress and model. In 2014, she became the first alt porn star to win the AVN Female Performer of the Year Award.  Early life Rotten was bo",Bonnie Rotten
Q11838533,"Jade Starr is an American model, Go-Go dancer, and actress based in Los Angeles. She is a mix of Cherokee and Irish.  Her work ranges from fashion modeling to lesbian pornography. She has done close t",Jade Starr
Q11862738,"Erica Fontes (born May 14, 1991 in Lisbon) is a Portuguese pornographic actress.   Career  Erica Fontes started her career in July 2009 with the film Diário Sexual de Maria.Interview mit Erica Fontes ",Erica Fontes
Q1189,"Usain St. Leo Bolt OJ CD (;Ellington, Barbara (31 August 2008). He is a happy person, says Usain's mother. Jamaica Gleaner. Retrieved 5 August 2009. born 21 August 1986) is a Jamaican sprinter. Widely",Usain Bolt
Q1192750,"Sonam Kapoor (; born 9 June 1985) is an Indian actress who appears in Bollywood films.The daughter of actor Anil, Kapoor began her career in film by assisting the director Sanjay Leela Bhansali on his",Sonam Kapoor
Q1193914,"For details about Ashley Olsen's career and activities shared with her sister, see Mary-Kate and Ashley Olsen.  Ashley Fuller Olsen (born June 13, 1986) is an American actress, fashion designer, produ",Ashley Olsen
Q1194288," is a former Japanese model and AV idol.  Life and career Early life Yua Aida was born in Aichi Prefecture, Japan, on 12 August 1984. Aida was an active girl and involved in many sporting activities d",Yua Aida
Q11975,"Britney Jean Spears (born December 2, 1981) is an American recording artist and entertainer. Born in McComb, Mississippi, and raised in Kentwood, Louisiana, she performed acting roles in stage product",Britney Spears
Q12056218,Vaishali Desai () (born December 18) is an Indian model and actor. She won the Indian title of Miss International. She debuted in the film Kal Kissne Dekha.  Early life Vaishali Desai was born to Vidy,Vaishali Desai
Q12061048,Kritika Kamra (; born 25 October 1988) is an Indian television actress. She is well known for her popular roles in Kuch Toh Log Kahenge and Kitani Mohabbat Hai.  Career Kritika landed her first televi,Kritika Kamra
Q12061127,"Jessie Lee (born September 19, 1984 in Buffalo, New York) is an American pornographic actress.  Lee entered the adult film industry in the summer of 2007 after applying to Burning Angel. Her first sce",Jessie Lee
Q12068847,"Isha Sharvani (born 29 September 1984 in  Gujarat, India) is an Indian Contemporary dancer and actress. She is known for her stylistic Indian contemporary and aerial dance performances. She has also s",Isha Sharvani
Q12073038,Jennifer Winget (born 30 May 1985) is an Indian actress. She has appeared in Kasautii Zindagii Kay and Dill Mill Gayye. She played the role of Kumud in Saraswatichandra on Star Plus. She won best actr,Jennifer Winget
Q122020,"Hilary Erhard Duff (born September 28, 1987) is an American actress and singer. She began acting at a young age and rose to prominence as a teen idol, playing the title character in the television ser",Hilary Duff
Q1237204,"Rachel Elizabeth Boston (born May 9, 1982) is an American actress and producer. Boston had the leading roles in a number of independent films, and was regular cast member in the several television ser",Rachel Boston
Q1255625,Samuel Eto'o Fils (; born 10 March 1981) is a Cameroonian footballer who plays as a striker for Premier League club Everton and formerly for the Cameroon national team.  He is the most decorated Afric,Samuel Eto'o
Q1265015,"Paulina James (born October 29, 1986) is an American pornographic actress of Portuguese ancestry.Paulina James Audio Interview at Adult DVD Talk  She is an exclusive contract performer and director wi",Paulina James
Q126599,"Kristen Jaymes Stewart (born April 9, 1990) is an American actress. She is best known for playing  the protagonist Bella Swan in the popular The Twilight Saga romance fantasy film series, which has gr",Kristen Stewart
Q127621,"Angie Savage (born November 12, 1981) is an American pornographic actress.   Born in Santa Cruz, California, Savage entered the adult industry in 2005, working mainly in girl/girl releases.""Scream Que",Angie Savage
Q1276831,"Katie Kox (born December 17, 1985 in Hawaii) is an American pornographic actress.  Career In 2009, while living in Las Vegas, Kox worked part-time at a credit union as well as a waitress in order to e",Katie Kox
Q128507,"Lauren Cohan (born January 7, 1982) is an American-born British actress. Cohan is known for her role as Maggie Greene in The Walking Dead. She is also known for her recurring roles on The Vampire Diar",Lauren Cohan
Q128992,Miralem Sulejmani (; born 5 December 1988) is a Serbian professional footballer who plays as a winger or forward for Portuguese club Benfica and the Serbia national team.  When he signed for Ajax in 2,Miralem Sulejmani
Q12973311," Azhar Ali  (; born 19 February 1985 in Kasur, Punjab) is a Pakistani international cricketer.Azhar Ali player profile, Cricinfo He made his Test debut for Pakistan against Australia in the first Test",Azhar Ali
Q1297418,"Zulqarnain Haider (, born 23 April 1986 in Lahore) is Pakistani cricketer who has played for his national team. Having played for Pakistan Under-19s, Haider was called up to the senior national side i",Zulqarnain Haider
Q1300562,"[[File:Shahnameh - Iraj slain by his two brothers, Salm and Tur.jpg|thumbnail|right|A page from Shahnameh of Arthur M. Sackler Gallery showing Iraj being slain by his elder brothers Salm and Tur]] [[F",Iraj (son of Fereydun)
Q13211941,"Mawra Hocane is a Pakistani actress, VJ and model. She is known for her role in serials like Yahan Pyar Nahi Hai, Ek Tamanna Lahasil Si, Kitni Girhain Baqi Hain , Nikhar Gaye Gulab Sar and""Aahista Aah",Mawra Hocane
Q1321199,"Vanessa Lee Chester (born July 2, 1984) is an American television and film actress. She has worked on a variety of projects, most notable for her roles as Kelly in Steven Spielberg's The Lost World: J",Vanessa Lee Chester
Q132147,"Sania Mirza (born 15 November 1986, in Mumbai) is a professional Indian tennis player. From 2003 until her retirement from singles in 2013, she was ranked by the Women's Tennis Association as India's ",Sania Mirza
Q13304,"Mouhamadou Dabo (born 28 November 1986 in Dakar) is a French professional footballer who currently plays for French club Lyon in Ligue 1. He is a right back, but has played left back.   Club career   ",Mouhamadou Dabo
Q13362781,"Kranti Redkar (; born 17 August 1982) is a well known Marathi film, television and stage actor, notable for her roles in Marathi theatre and Marathi films and television.  Career Her debut in films wa",Kranti Redkar
Q13424289,"Edward Joseph ""Ed"" Snowden (born June 21, 1983) is an American computer professional who leaked classified information from the National Security Agency (NSA), starting in June 2013.   A former system",Edward Snowden
Q13590412,"Prince George of Cambridge (George Alexander Louis; born 22 July 2013) is the son of Prince William, Duke of Cambridge, and Catherine, Duchess of Cambridge, and the grandchild of Charles, Prince of Wa",Prince George of Cambridge
Q13606704,"Kendall Karson (born March 28, 1988) is an American pornographic actress, feature dancer and DJ. She entered the adult film industry in 2011.  Early life Karson was born and raised in a conservative C",Kendall Karson
Q1362169,"Agnes Monica Muljoto (born 1 July 1986), known by her stage name Agnes Monica (now AGNEZ MO), is an Indonesian singer and actress. Born in Jakarta, she started her career in the entertainment industry",Agnez Mo
Q1370137,"Meggan Mallone (born December 30, 1986) is an American pornographic actress.  Biography Born in Houston, Texas, Mallone is of Cherokee, Irish and German descent.  Mallone's mother, a Cherokee from Okl",Meggan Mallone
Q137657,"Heather Vandeven (born September 6, 1981) is an American model, pornographic actress and actress. She was chosen as a Penthouse Pet of the Month in 2006, and later became the magazine's 2007 Pet of th",Heather Vandeven
Q1426,Roger Federer (; born 8 August 1981) is a Swiss professional tennis player who is currently ranked world No. 2 by the Association of Tennis Professionals (ATP).http://www.atpworldtour.com/Rankings/Ran,Roger Federer
Q142794,"Neymar da Silva Santos Júnior (; born 5 February 1992), commonly known as Neymar or Neymar Jr., is a Brazilian professional footballer who plays for Spanish club FC Barcelona and is the captain for th",Neymar
Q1428440,"Michael John Clarke (born 2 April 1981) is a professional Australian cricketer and captain of the Australian cricket team for Test cricket. Nicknamed ""Pup"", he is a right-handed middle-order batsman, ",Michael Clarke (cricketer)
Q14537047,"Christy Mack (born Christine Mackinday; May 9, 1991) is an American pornographic actress, nude model and feature dancer.  Early life Mack was born in South Chicago Heights, Illinois and raised mostly ",Christy Mack
Q14595224,"   Fatima Effendi (born 17 December 1992) is a Pakistani actress and model. She has performed her best role in the Pakistani drama series Chal Jhooti, Pul Siraat and Kaash Main Teri Beti Na Hoti.   Pe",Fatima Effendi
Q14655709,"Ayesha Farooq (Urdu:عائشہ فاروق) (born August 24, 1987) is a female Pakistani fighter pilot. Ayesha is from the city of Bahawalpur, she is one of five women who have become pilots in the Pakistan Air ",Ayesha Farooq
Q147077,"Emily Jean ""Emma"" Stone (born November 6, 1988) Retrieved July 30, 2012. is an American actress. She made her feature film debut in Superbad (2007). She has co-starred in The House Bunny (2008), Zombi",Emma Stone
Q14709455,"Maddy O'Reilly (born May 3, 1990) is the stage name of an American pornographic actress.  Early life O'Reilly worked as a car salesperson at CarMax and was a waitress at Chili's prior to working in th",Maddy O'Reilly
Q14718442,"Anissa Kate (born 7 May 1987) is the stage name of a French-born pornographic actress and director. She made her adult film debut in September 2011, starring in the film Ultimate French Girls 3.  Awar",Anissa Kate
Q147589,Kolo Abib Touré (born 19 March 1981) is an Ivorian professional footballer who plays for English club Liverpool and the Ivory Coast national team as a defender. He previously played for Manchester Cit,Kolo Touré
Q14816237,"Humza Mohammed Arshad (; born 3 June 1985) is an English actor, comedian and writer of Pakistani descent. He is best known for his web series Diary of a Bad Man.  Early life Arshad was born and brough",Humza Arshad
Q14864898,"Humaima Malick  is a Pakistani actress and model who appears in Pakistani and Bollywood films and serials.   Malick was born in Quetta, Balochistan, Pakistan. She started her education in Quetta and g",Humaima Malick
Q149771,"Gihan Ibrahim (, ), nicknamed Gigi (, ), is an Egyptian journalist, blogger and socialist activist. She has been credited as being a part of a new generation of ""citizen journalists"" who document news",Gihan Ibrahim
Q149941,"Alaa Abd El-Fattah (, ; also presented in English as Alaa Abdel Fattah) is an Egyptian blogger, software developer and a political activist. He has been active in developing Arabic-language versions o",Alaa Abd El-Fattah
Q15020877,"Valentina Nappi (born 6 November 1990) is an Italian pornographic film actress and adult model.   Life and career  Born in Scafati, Salerno, Nappi made her debut in the adult industry in 2011 with dir",Valentina Nappi
Q15055683,"Shraddha Kapoor is an Indian film actress and singer who appears in Bollywood films. The daughter of actor Shakti Kapoor, she began her acting career with a brief role in the 2010 heist film Teen Patt",Shraddha Kapoor
Q15078774,"Monica or Monika (born Rekha Maruthiraj)Monika. jointscene.com is a former Indian film actress, who starred predominantly in Tamil language films. A child actor in the early 1990s, she mostly appeared",Monica (actress)
Q15079386,آلیہ لو (لاطینی: Aaliyah Love) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1985ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات ,آلیہ لو
Q15080893,"Penny Pax is the stage name of an American pornographic actress and model. She worked as a lifeguard in Fort Lauderdale, Florida before entering the adult film industry. In 2012 she was cast in the in",Penny Pax
Q15082000,"Elizabeth Avramidou Granlund ""Elli Avram""   (born 29 July 1990) is a Swedish Greek actress and is now based in Mumbai, India. She appeared in the Hindi film Mickey Virus and participated in the Indian",Elli Avram
Q151798,"Tamannaah Bhatia (born 21 December 1989) is an Indian film actress and model, who performs under the mononym Tamannaah and predominantly appears in South Indian cinema. In 2005, she made her acting de",Tamannaah
Q15276597,"Sarah Shevon (born July 10, 1984 in Grass Valley, California) is the stage name of an American pornographic actress. She made her porn debut for kink.com in March 2009. In July 2010, she moved to Los ",Sarah Shevon
Q153786,Edin Džeko (; born 17 March 1986) is a Bosnian professional footballer who plays as a forward for Premier League club Manchester City and the Bosnia and Herzegovina national team for which he is capta,Edin Džeko
Q15408399,"Natalia Starr (born March 22, 1993) is a Polish-born American pornographic actress.  Early life Starr was born in Poland and moved to the United States during Christmas season in 2000 when she was sev",Natalia Starr
Q15517447,"Christie Stevens (born September 12, 1986) is an American pornographic actress.  Early life Stevens was raised in Temecula, California. She is a former ballet, jazz, tap, and hip-hop dancer. She gradu",Christie Stevens
Q15576453,"Mia Malkova (born July 1, 1992) is an American pornographic actress.  Career Malkova was introduced to the adult film industry by adult actress Natasha Malkova, who was a school friend of hers.Buzz Ki",Mia Malkova
Q15621257,"Nikki Delano (born April 12, 1986) is an American pornographic actress.  Early life Delano was born and raised in Brooklyn, New York and is the eldest of eight siblings. She is of Puerto Rican, Colomb",Nikki Delano
Q15632009,"Melanie Müller (born 10 June 1988) is a German television personality, model and former pornographic actress.  From 2005 to 2009, Müller, who was born in Oschatz, trained as a restaurant specialist an",Melanie Müller
Q15645408,"Vaani Kapoor (born 23 August 1988) is an Indian actress and model.  Kapoor was born in Delhi, India. Her father is a furniture exports entrepreneur and her mother is a teacher-turned marketing executi",Vaani Kapoor
Q15735750,"Muhammad Karim (born May 1, 1995FIS Biography) is an alpine skier from Pakistan. He will become the second Pakistani to participate at a Winter Olympics when he competes at the 2014 Winter Olympics in",Muhammad Karim (alpine skier)
Q158450,"Ayesha Takia (born April 10, 1986) is an Indian actress who mainly appears in Bollywood films. Her maternal grandmother is English.https://twitter.com/Ayeshatakia/status/24832376412573697 She made her",Ayesha Takia
Q15846415,"Samantha Bentley (born 8 October 1987) is an English pornographic actress.  Early life Bentley was born and raised in South London, England.  Career Bentley decided to enter the adult film industry af",Samantha Bentley
Q15846417,"Rikki Six (born December 18, 1990) is the stage name of an American pornographic actress.  Early life Six planned to become a pediatric nurse prior to her porn career. She attended dental assisting sc",Rikki Six
Q15846419,"Shyla Jennings (born 16 June 1989) is the stage name of a German-born pornographic actress. Though born in Germany, she commonly refers to Texas as her hometown state.  Although Jennings performs excl",Shyla Jennings
Q158957,"Priyanka Chopra (; born 18 July 1982) is an Indian film actress and singer, and the winner of the Miss World pageant of 2000. Through her successful film career, Chopra has become one of Bollywood's h",Priyanka Chopra
Q15923392,"Hala Al Turk (, born 15 May 2002) is a singer from Bahrain.  Career In 2011, she participated in Arab's Got Talent, a program broadcast on MBC channel. Her first appearance saw her singing the song ""M",Hala Al Turk
Q162959,"Blake Ellender LivelyBlake Lively-Ryan Reynolds wedding news, ca.eonline.com (born Blake Ellender Brown;Birth information, californiabirthindex.org August 25, 1987) is an American actress, model and c",Blake Lively
Q163249,"Jessica Claire Timberlake (née Biel; born March 3, 1982) is an American actress. Biel began her career as a vocalist appearing in musical productions until she was cast as Mary Camden in the family-dr",Jessica Biel
Q165014,"Ibrahim Afellay (; born 2 April 1986) is a Dutch professional footballer who plays for Greek club Olympiacos on loan from FC Barcelona, and the Dutch national team, as an attacking midfielder or winge",Ibrahim Afellay
Q16759,"Kaley Christine Cuoco-Sweeting (née Cuoco;   ; born November 30, 1985)""8 Interesting Facts About Kaley Cuoco-Sweeting"". CBS. August 19, 2014. is an American actress, known for her roles as Bridget Hen",Kaley Cuoco
Q168543,"Lupe Fuentes is a Colombian house music producer and DJ. She lives in Los Angeles, California. Since 2011, Fuentes has been married to singer and actor, Evan Seinfeld.    Early life  Lupe Feuntes was ",Lupe Fuentes
Q1749475,"Shamili, better known as Baby Shamili, is an Indian actress, who has primarily acted as a child actor in Malayalam, Tamil, Kannada and Telugu films. She is probably best known for her critically accla",Shamili
Q1768172,جنکس میز (لاطینی: Jynx Maze) ایک فحش اداکارہ ہے۔   متعلقہ روابط   فہرست فحش اداکارائیں  فحش فلم  فحش نگاری   حوالہ جات  زمرہ:نامکمل  زمرہ:1990ء کی پیدائشیں زمرہ:امریکی فحش اداکارائیں زمرہ:بقید حیات شخ,جنکس میز
Q1769888,"Julia Bond (born February 26, 1987 In a 2005 interview with Porn Valley News, she mentions she is 18.) is an American model, singer/rapper, and former bisexualhttp://rude.com/18teens_Big_Boobs/Alektra",Julia Bond
Q1800319,"Leonie Saint (born 23 April 1986), also known with the stage names Leonie Luder or simply Leonie, is a German actress, TV-presenter and former pornographic actress.  Life and career Born in Herne, Nor",Leonie Saint
Q180462,Salomon Armand Magloire Kalou (born 5 August 1985) is an Ivorian footballer who plays as a striker for Hertha BSC in the Bundesliga.   He previously played for Feyenoord from 2003–2006 and Chelsea fro,Salomon Kalou
Q184277,"Gnégnéri Yaya Touré (born 13 May 1983), known as Yaya Touré, is an Ivorian professional footballer who plays as a midfielder for English club Manchester City and the Ivory Coast national team.Touré Ya",Yaya Touré
Q187832,"Amanda Leigh ""Mandy"" Moore (born April 10, 1984) is an American singer-songwriter, actress, and fashion designer. Raised in Florida, Moore first came to prominence with her 1999 debut single, ""Candy"",",Mandy Moore
Q188744,"Freida Selena Pinto (born 18 October 1984) is an Indian actress and model. From a Mangalorean Catholic family, she wanted to become an actress from a young age. Prior to making her cinematic debut, sh",Freida Pinto
Q18881,"Aly Cissokho (, born 15 September 1987) is a French professional footballer who plays for Aston Villa in the Premier League and the France national team. He plays as a left back and has been described",Aly Cissokho
Q189490,"Jennifer Shrader Lawrence (born August 15, 1990) is an American actress. Her first major role was as a lead cast member on the TBS sitcom The Bill Engvall Show (2007–09). She subsequently appeared in ",Jennifer Lawrence
Q189992,"Ashley Michele Greene (born February 21, 1987) is an American actress and model, best known for playing Alice Cullen in the film adaptations of Stephenie Meyer's Twilight novels.   Early life  Greene ",Ashley Greene
Q1909,Adil Rami ( ; ; born 27 December 1985) is a Corsican-born French footballer of Moroccan descent who plays as a centre back for Serie A club Milan and the France national team.  Rami began his football,Adil Rami
Q1912,"Karim Mostafa Benzema  (born 19 December 1987) is a French footballer who plays for Spanish club Real Madrid and the French national football team as a striker. He is described as an ""immensely-talent",Karim Benzema
Q1918,"Franck Henry Pierre Ribéry () (born 7 April 1983) also known as Bilal Yusuf Mohammed as an adopted name since his conversion in 2006 to Islam, is a French footballer currently playing for German Bunde",Franck Ribéry
Q1920,"Samir Nasri (born 26 June 1987) is a French professional footballer who plays for English club Manchester City and the France national team. He primarily plays as an attacking midfielder and a winger,",Samir Nasri
Q192410,"Jennifer Kate Hudson (born September 12, 1981) is an  American recording artist, actress and spokesperson. She rose to fame in 2004 as a finalist on the third season of American Idol, coming in sevent",Jennifer Hudson
Q1928,"Hatem Ben Arfa (, ; born 7 March 1987) is a French footballer who plays for Premier League club Hull City, on loan from Newcastle United, and for the France national football team. He plays as a winge",Hatem Ben Arfa
Q192887,"Kimberly Alexis Bledel (born September 16, 1981) is an American actress, model and producer. She is known for her role as Rory Gilmore in The WB/The CW comedy-drama Gilmore Girls.  She has since starr",Alexis Bledel
Q1936,"Djibril Cissé (; born 12 August 1981) is a French footballer who plays as a striker for SC Bastia in Ligue 1. He is well known for his speed and acceleration. Since 2005, he has been Lord of the Manor",Djibril Cissé
Q193768,"Suleyman Ali ""Sulley"" Muntari (; born 27 August 1984) is a Ghanaian international footballer who plays as a central midfielder for Milan.  During his time at Internazionale, he helped the team win the",Sulley Muntari
Q1938,Bacary Sagna () (born 14 February 1983) is a French footballer who plays for English club Manchester City and for the France national football team.  Arsenal manager Arsène Wenger has described him as,Bacary Sagna
Q1943,"Vassiriki Abou Diaby (; born 11 May 1986), known as Abou Diaby, is a French professional footballer who plays for English club Arsenal and the France national team. He plays primarily in a box to box ",Abou Diaby
Q195687,"Allison Mack (born July 29, 1982) is an American actress, director and producer. She is best known for her role of Chloe Sullivan on the The WB/CW Superman-inspired television drama series Smallville ",Allison Mack
Q1965719,"Logan Laurice Browning (born June 9, 1989)Logan Browning. crowhavenroad.org is an American actress and singer-songwriter. She is best known for playing Sasha in the 2007 film Bratz: The Movie and Bria",Logan Browning
Q19848,"Stefani Joanne Angelina Germanotta ( ; born March 28, 1986), better known by her stage name Lady Gaga, is an American singer, songwriter, and actress. She initially performed in theater, appearing in ",Lady Gaga
Q200194,"Victoria Dawn Justice (born February 19, 1993) is an American actress and singer-songwriter. She debuted as an actress at the age of 10 and has since appeared in several films and television series in",Victoria Justice
Q200355,"Olivia Wilde (born Olivia Jane Cockburn; March 11, 1984) is an American actress, producer, and model. She has appeared in a number of television and film productions including The O.C., The Black Donn",Olivia Wilde
Q2006089,"Marie McCray (born May 21, 1985) is an American pornographic actress and nude model.  Life and career McCray was born in Indianapolis, Indiana. She began working as a webcam model when she was 16 year",Marie McCray
Q201418,"Abigail Kathleen Breslin (born April 14, 1996) is an American actress. She appeared in her first commercial when she was three years old, and in her first film, Signs (2002), at the age of five. Her o",Abigail Breslin
Q2020264,"Rachel Roxxx (born March 2, 1983 in San Antonio, Texas) is the stage name of an American pornographic actress.  Biography Roxxx worked at Hooters before joining the sex industry. A friend of hers in H",Rachel Roxxx
Q202853,"Sarah Christine Roemer (born August 28, 1984) is an American actress and model. She is best known for her roles in the films The Grudge 2, Disturbia, and Fired Up! and the television series The Event.",Sarah Roemer
Q2049562,Manjari () (born 17 April 1986) is an Indian playback singer active mainly in Malayalam. She was born in 1986 in Thiruvananthapuram and grew up in Muscat and her family is originally from Kannur. Her ,Manjari (singer)
Q2050320,"The Indian name Mohandas is a patronymic, not a family name; thus, the person should be referred to by her given name, ""Mamta"".  Mamta Mohandas is an Indian film actress and playback singer. She has m",Mamta Mohandas
Q2050788,"Shreya Ghoshal   (born 12 March 1984) is an Indian playback singer who mainly sings in  Hindi, Telugu, Kannada, Tamil, Bengali and Malayalam films as well as in other Indian languages such as  Assames",Shreya Ghoshal
Q205290,"Carmen Hart (born March 12, 1984) is a Native American former pornographic actress and international exotic dancer from North Carolina. She is a full-blooded member of the Lumbee tribe.  Career Hart w",Carmen Hart
Q2055847,"Lily Labeau (born January 20, 1991) is the stage name of an American pornographic actress, BDSM, fashion and nude model.  Life and career Labeau was born in Washington and moved to Arizona at age nine",Lily Labeau
Q205794,"Chelsea Kane Staub (born September 15, 1988) is an American actress and singer professionally known as Chelsea Kane since December 2010. She is known for her role as Stella Malone in the Disney Channe",Chelsea Kane
Q206916,"Sophia Anna Bush (born July 8, 1982) is an American actress, director, spokesperson, and activist. She starred in The WB/CW television series One Tree Hill, where she portrayed Brooke Davis from 2003 ",Sophia Bush
Q207458,"Mischa Anne Barton (born 24 January 1986) is an English-Irish film, television, and stage actress, and occasional fashion model with British, Irish, and American citizenship. She began her acting care",Mischa Barton
Q2084822,"Michele (born February 13, 1986), better known by her stage name Jayden Jaymes, is an American pornographic actress, exotic dancer, and model.  Career Jaymes has appeared in over 300 movies since star",Jayden Jaymes
Q2085412,"Sammie Rhodes (born November 10, 1983) is the stage name for an American pornographic actress.  Early life Rhodes is a native of Connecticut. She was an honor student in high school and attended colle",Sammie Rhodes
Q2086574,"Hansika Motwani (born 9 August 1991) is an Indian actress who predominantly appears in Tamil and Telugu films. She made her film debut as a leading actress in the Telugu film Desamuduru (2007), winnin",Hansika Motwani
Q2087557,"Natasha Nice (born July 28, 1988) is a French American pornographic actress.   Life and career  She was born in Fontenay-sous-Bois, France on July 28, 1988 and moved to Los Angeles, California when sh",Natasha Nice
Q2087591,"Lela Star (born June 13, 1985) is an American pornographic actress who has performed in over 100 scenes.  Biography  Star debuted in the Hustler-produced Barely Legal 18th Birthday after being discove",Lela Star
Q210537,"Faye Reagan, formerly Faye Valentine, (born September 19, 1988) is an American pornographic actress.  Biography Reagan was born in Nashville, Tennessee. Her family moved to Las Vegas, Nevada when she ",Faye Reagan
Q212002,"Amanda Laura Bynes (born April 3, 1986) is an American actress and fashion designer. She rose to prominence in the late 1990s and early 2000s on the Nickelodeon series All That and The Amanda Show. Fr",Amanda Bynes
Q2121695,"Amy Louise Jackson (born 31 January 1991) is a  British model and actress who works in Indian films. She works mainly in Tamil films and few Telugu films, but has also appeared in one Bollywood film. ",Amy Jackson
