,text,name
Q1020675,Bülent Cevahir (born 13 February 1992) is a Turkish footballer who plays as a midfielder for Balıkesirspor.Bülent Cevahir set to sign with Balıkesirspor He made his Süper Lig debut on 30 January 2011 ,Bülent Cevahir
Q1025088,"thumb|Jake Zamansky in January 2008 Jake Zamansky (born June 26, 1981) is an American alpine ski racer who has competed since 1997. His best World Cup finish was 15th at a giant slalom event in Italy ",Jake Zamansky (skier)
Q1026181,"Patrick Biggs (born 11 October 1982 in Berwick, Australia) is a Canadian alpine skier.  Biggs has twice finished in the top 10 in the slalom at World Cup events, both in 2005 and has won multiple meda",Patrick Biggs
Q10263686,"Luis Eduardo Barros Cavalcanti (Arcoverde, July 9, 1981), mostly known as Dado Cavalcanti, is a Brazilian football manager. He is currently Ceará's manager.   Career  Dado was born in Arcoverde, a cou",Dado Cavalcanti
Q1026549,"Caleb Smith (born October 5, 1983) is an American skeleton racer who has competed since 2001. His best Skeleton World Cup finish was second at Lake Placid in December 2006.  Smith's best finish at the",Caleb Smith (skeleton racer)
Q1026596,"Calen Maiava-Paris (* 3. Juni 1983 in Wellington, Neuseeland) ist ein neuseeländischer Schauspieler.  Der heute 31-Jährige spielte in vielen Kurzfilmen mit, u. a. in ""The Hibiscus"". Seine erste große ",Calen Maiava-Paris
Q1026630,{{Infobox Skilangläufer  | kurzname = Jens Eriksson | bild = 240px|rahmenlos|ohne|JEns Eriksson bei den Schwedischen Meisterschaften 2013 | langname =  | nation =  | geburtstag = 	4. April 1987 | gebu,Jens Eriksson
Q1026721,"Daniele Cacia (born 23 August 1983) is an Italian football striker. He currently plays for Serie B side Verona. He is a former Italy Under 19's International.  Career Piacenza Born in Catanzaro, and c",Daniele Cacia
Q1026897,Francesca Marsaglia (born 27 January 1990) is an Italian alpine skier. She has competed at the 2014 Winter Olympics. Marsaglia is 1.67 m (5' 6'') and weighs 61 kg / 134 lbs. She is the sister of fello,Francesca Marsaglia
Q1028478,"Svetlana Ognjenović (born January 26, 1981 in Osijek) is a Serbian handball player. She is a member of the Serbian national team.  References  External links EHF profile  Category:Living people Catego",Svetlana Ognjenović
Q1028729,"Cameron Gaunce (born March 19, 1990) is a Canadian professional ice hockey defenceman. He is currently playing with the Texas Stars of the American Hockey League (AHL). Gaunce was selected by Colorado",Cameron Gaunce
Q1028926,Camila Colombo Seré (* 4. Juni 1990 in Montevideo) ist eine uruguayische Schachspielerin.   Leben   Camila Colombo ist Studentin an der Fakultät für Geistes- und Erziehungswissenschaften der Universid,Camila Colombo
Q1028968,{{Infobox Alpiner Skirennläufer  | kurzname = Camilla Alfieri | bild = 180px|Camilla Alfieri im März 2008Camilla Alfieri im März 2008 | langname = | nation =  | geburtstag = 23. Januar 1985 | geburtso,Camilla Alfieri
Q1029048,"Camilla Overgaard (* 30. März 1989) ist eine dänische Badmintonspielerin.   Karriere Camilla Overgaard gewann in Dänemark mehrere Nachwuchstitel, bevor sie 2008 ihren ersten bedeutenden Turniersieg be",Camilla Overgaard
Q102923,Lina Rabea Mohr (* 5. November 1985 in Berlin) ist eine deutsche Schauspielerin.  Lina Rabea stand bereits mit 13 Jahren für Dr. Sommerfeld - Neues vom Bülowbogen zum ersten Mal vor der Kamera. Von Ja,Lina Rabea Mohr
Q102927,"Maurice Stuckey (* 30. Mai 1990 in Augsburg) ist ein deutscher Basketballspieler. Er spielt seit 2014 für die EWE Baskets Oldenburg, nachdem er zuvor zwei Jahre für die s.Oliver Baskets spielte.    Ka",Maurice Stuckey
Q1031003,"Stephan Wilhelm (* 12. Juli 1983 in Garmisch-Partenkirchen) ist ein deutscher Eishockeyspieler, der seit 2013 für die Schwenninger Wild Wings aus der Deutschen Eishockey Liga spielt.    Karriere  Wilh",Stephan Wilhelm
Q1031815,Can Açıkgöz (* 2000) ist ein deutsch-türkischer Hörbuchsprecher. Açıkgöz lebt in Hamburg-Wilhelmsburg.   Werdegang  Im Alter von zwölf Jahren gewann er den Bezirksentscheid Hamburg-Süd des Lesewettbew,Can Açıkgöz
Q1031999,"Thiago Ribeiro Cardoso (born 24 February 1986), commonly known as Thiago Ribeiro, is a Brazilian footballer who plays for Santos mainly as a second striker.  Club career Born in Pontes Gestal, São Pau",Thiago Ribeiro
Q103294,"Marie-Elisabeth Hecker (* 5. März 1987 in Zwickau) ist eine deutsche Cellistin. Sie gewann 2005 als eine der jüngsten Teilnehmerinnen den ersten Preis beim Rostropowitsch-Wettbewerb, dem bedeutendsten",Marie-Elisabeth Hecker
Q1036201,Carina Bargmann (* 1991 in Braunschweig) ist eine deutsche Autorin von Fantasyromanen für Kinder und Jugendliche.  Im Jahr 2010 machte Bargmann ihr Abitur. Sie veröffentlichte bisher zwei Fantasyroman,Carina Bargmann
Q1036236,Carina Wenninger is an Austrian football midfielder currently playing for Bayern Munich in the German Bundesliga.Profile in Bayern's website She first played the Champions League in 2010.   She is a m,Carina Wenninger
Q103698,Miriam Frenken (born 1984 in Düsseldorf) is a German sprint canoer who has competed since the mid-2000s. She won a silver medal in the K-4 1000 m event at the 2006 ICF Canoe Sprint World Championships,Miriam Frenken
Q10390403,"Victória Deborah de Sousa Lark Guerra (* 16. April 1989 in Loulé, Distrikt Faro) ist eine portugiesische Schauspielerin.  Leben  Sie wurde als Tochter einer Engländerin und eines Portugiesen an der Al",Victória Guerra
Q1039043,"Yonny Hernández Vega (born 25 July 1988) is a Colombian Grand Prix motorcycle racer.Profile on motogp.com He is the older brother of Santiago Hernández, and has previously competed in the Spanish Supe",Yonny Hernández
Q103974,Steffen Lang (born 14 August 1993) is a German footballer.  References  External links    Category:1993 births Category:Living people Category:German footballers Category:VfB Stuttgart II players Cate,Steffen Lang
Q1041724,"Timothy ""Tim"" Roe (born 28 October 1989) is a professional Australian road cyclist, currently riding for Team Budget Forklifts.  Palmarès  2009  1st Overall Jelajah Malaysia 1st Stage 7  3rd Overall T",Tim Roe
Q104221,"Kristina Dörfer, also known by the stage name KR!S or Kris, (born 26 July 1984 in Wurzen, Saxony, East Germany) is a German singer and television actress.  Biography thumb|Kristina Dörfer 2007 Dörfer ",Kristina Dörfer
Q104230,Thorsten Engelmann (born 20 July 1981 in Berlin) is a German rower. Engelmann started rowing at age 9 because his father was the President of a rowing club in Berlin. He continued training while earni,Thorsten Engelmann
Q1042757,Ryan Mark Donaldson (born 1 May 1991) is an English footballer who plays for Cambridge United. He plays as a midfielder.  Club career Donaldson joined his hometown club at age 9 and made his reserve t,Ryan Donaldson
Q1042877,Carlos Enrique Ávalos (* 28. Februar 1982) ist ein salvadorianischer Radrennfahrer.  Carlos Enrique Avalos gewann 2004 die vierte Etappe der Vuelta a El Salvador und konnte so auch die Gesamtwertung f,Carlos Enrique Ávalos
Q104339,Joanna Semmelrogge (* 5. Mai 1990 in München) ist eine deutsche Schauspielerin.  Nach dem Realschulabschluss im Jahr 2006 schloss sie 2009 eine Ausbildung zur Bankkauffrau ab und widmete sich danach g,Joanna Semmelrogge
Q1043701,{{Infobox Naturbahnrodler  | kurzname = Carmen Planötscher | bild =  | langname =  | nation =  | geburtstag = 10. Juli 1996 | geburtsort = | geburtsland =  | groesse =  | gewicht =  | beruf =  | sterb,Carmen Planötscher
Q104382,Karsten Tadda (* 2. November 1988 in Bamberg) ist ein deutscher Basketballspieler. Tadda kam über das Basketball-Nachwuchsförderprogramm „Franken 1st“ in den Profikader der Brose Baskets aus seiner He,Karsten Tadda
Q1044420,"Carolina Solberg Salgado (Born August 6, 1987 in Rio de Janeiro) is a Brazilian beach volleyball player.  Salgadois is considered to be one of the sports up-and-coming stars, having made an impression",Carolina Solberg Salgado
Q1044473,Caroline Combrinck (* 20. Juli 1983 in München) ist eine deutsche Synchronsprecherin.   Leben  Caroline Combrinck ist die Tochter von Ivar Combrinck und Inge Solbrig-Combrinck sowie die Schwester von ,Caroline Combrinck
Q1044550,"Caroline Salm (* 5. Februar 1987 in Lebach) ist eine deutsche Fußballspielerin.    Ihre ersten Schritte tat Salm bei der TuS Steinbach, wo sie bis zur D-Jugend aktiv war, ehe sie in der B-Jugend zu ih",Caroline Salm
Q104510,{{Infobox Skispringer  | kurzname = Felix Brodauf | bild =  | langname =  | nation =  | geburtstag = 22. September 1989 | geburtsort = Karl-Marx-Stadt | geburtsland =  | groesse = 185 | gewicht = 65  ,Felix Brodauf
Q1045662,Carsten Rump (born 31 March 1981) is a German footballer who plays as a defender for Arminia Bielefeld.  References  External links  Carsten Rump at worldfootball.net  Category:1981 births Category:Li,Carsten Rump
Q1046306,Denis Valerievich Kuzin (; born 4 December 1989) is an World Champion speed skater from Kazakhstan.  In the 2013 World Single Distance Championships he won the gold medal in the 1000 meters race.  Per,Denis Kuzin
Q1047220,"Casey Michael McGehee (born October 12, 1982) is an American professional baseball third baseman and first baseman for the San Francisco Giants of Major League Baseball (MLB). He has previously played",Casey McGehee
Q1047233,"Casey Simons (* 26. März 1985) ist ein US-amerikanischer Biathlet und früherer Skilangläufer.  Casey Simons lebt in Park City und startet für das University OF Utah SKI Team, wo er von Eli Brown und W",Casey Simons
Q104864,Markus Rehm (born in Göppingen on 22 August 1988) is a German amputee and Paralympian. He began in sports at age 20 and became a Long Jump F44 world champion in 2011. His club is TSV Bayer 04 Leverkus,Markus Rehm
Q10487915,"Jen Buczkowski (born April 4, 1985) is an American soccer midfielder currently playing for FC Kansas City in the NWSL. She previously played for the Philadelphia Independence and New Jersey Sky Blue o",Jen Buczkowski
Q10511308,"Kathryn ""Katie"" Theresa Schoepfer (born November 10, 1988) is an American soccer player currently playing for the Boston Breakers of National Women's Soccer League.  Early life  While playing high sch",Katie Schoepfer
Q10513796,"Jordan Nobbs (born 8 December 1992) is an English footballer who wears the number eight shirt for Arsenal Ladies. She is a combative, goalscoring central midfielder. She has represented the England wo",Jordan Nobbs
Q105161,"Sabrina Schepmann (Künstlername Sabrina Sandford, * 1. Juni 1981 in NauenNach anderen Angaben: Berlin bzw. Falkensee) ist ein deutsches Fotomodell, Schönheitskönigin, Fotografin, Sängerin sowie Schaus",Sabrina Schepmann
Q1052406,"Aurora Cecilia Santiago Cisneros (born 19 October 1994), commonly known as Cecilia Santiago, is a Mexican international footballer who plays goalkeeper. By playing in the 2011 FIFA Women's World Cup i",Cecilia Santiago
Q1053251,"Cem Demir (born 30 April 1985) is a Turkish footballer who plays for Kartalspor. He was born in Erzincan.  Demir previously played for Trabzonspor, Adana Demirspor and Orduspor.  References  Category:",Cem Demir
Q105370,"Julia Eichhorn (born July 11, 1983) is a German skeleton racer who has competed since 1999. Her best Skeleton World Cup finish was fifth at Königssee in February 2007.  Eichhorn's best finish at the F",Julia Eichhorn
Q105682,"Thomas Andrew ""Tom"" Felton (born 22 September 1987) is an English actor and singer. He is best known for playing the role of Draco Malfoy in the Harry Potter film series, the film adaptations of the b",Tom Felton
Q105692,"   Philippe Bühler (born 29 November 1981) aka Philippe Heithier (named after his mother's birth name) is a German singer, songwriter, dancer, record producer and manager. He came to fame as a contest",Philippe Bühler
Q105695,"AnnaSophia Robb (born December 8, 1993) is an American actress and model. She has starred in films such as Because of Winn-Dixie (2005), Charlie and the Chocolate Factory (2005), Bridge to Terabithia ",AnnaSophia Robb
Q105709,"Matthias Biedermann (born January 28, 1983) is a German male skeleton racer, who took part in the 2005/2006 Skeleton World Cup trying to qualify for the 2006 Winter Olympics. He won the silver medal a",Matthias Biedermann
Q105724,"Massih Wassey (born 18 June 1988 in Münster) is a Canadian professional soccer player, who plays for SC Wiedenbrück 2000.  Career Wassey began his career in his hometown for ESV Münster in  1996 Massi",Massih Wassey
Q105857,Nelson Miguel Gonçalves da Costa (* 13. August 1982 in Ochtrup) ist ein ehemaliger deutsch-portugiesischer Fußballspieler. Der Mittelfeldspieler spielte für die niederländischen Fußballvereine FC Twen,Nelson Gonçalves da Costa
Q1058598,"Chad Thomas Power (born January 30, 1984 in Ventura County, California) is a martial arts black belt, who starred in 3 Ninjas and 3 Ninjas Knuckle Up as the character named Michael Douglas, later nick",Chad Power
Q106179,"Ilka Semmler (born 8 September 1985) is a German beach volleyball player. As of 2012, she plays with Katrin Holtwick. They have qualified for 2012 Summer Olympics in London.   References   Category:19",Ilka Semmler
Q1062380,"Chantal (* 19. Juli 1981 in ’s-Hertogenbosch, Niederlande) ist eine deutschsprachige Schlagersängerin.  miniatur|Chantal bei einem Live-Auftritt    Leben  miniatur|Chantal live in Kerkdriel  Chantal w",Chantal (Sängerin)
Q1062408,Chantal Laboureur (* 4. Januar 1990 in Friedrichshafen) ist eine deutsche Volleyball- und Beachvolleyballspielerin.   Karriere Halle  Chantal Laboureur begann mit sieben Jahren am Bodensee beim heimis,Chantal Laboureur
Q1063316,"Charlene Soraia Santaniello Jones (Lewisham, 1988), known as Charlene Soraia, is a British singer-songwriter.   She first became known with a cover of The Calling's ""Wherever You Will Go"", which peake",Charlene Soraia
Q106361,"miniatur|Jenny-Mai Nguyen (2009) Jenny-Mai Nguyen, auch Jenny-Mai Nuyen (* 14. März 1988 in München) ist eine deutsche Fantasyschriftstellerin. Der besseren Aussprechbarkeit wegen veröffentlicht sie i",Jenny-Mai Nuyen
Q106392,"Martin Stosch (born 30 July 1990 in Landshut, Germany) is a German singer and the runner-up of the fourth season of the television show Deutschland sucht den Superstar (DSDS), the German version of Po",Martin Stosch
Q106455,Alexander Granzow (* 23. April 1990 in Buchholz in der Nordheide) ist ein deutscher Schauspieler.   Leben  Alexander Granzow wuchs in Jesteburg auf. Er nahm von 2006 bis 2007 Schauspielunterricht an e,Alexander Granzow
Q106473,"Dominik Behr (* 4. März 1981 in Würzburg) ist ein ehemaliger deutscher Florettfechter. Seine größten Erfolge sind die Europameisterschaftstitel mit der Florettmannschaft 2001 und 2007, sowie weitere s",Dominik Behr
Q1066481,{{Infobox Skeletonfahrer  | kurzname = Charles Wlodarczak | bild =  | langname =  | nation =  | geburtstag = 27. März 1983 | geburtsort =  | geburtsland =  | groesse = 187 | gewicht = 82 | beruf =  | ,Charles Wlodarczak
Q106739,Separate (bürgerlich Sebastian FaisstBiografie bei Laut.de) ist ein deutscher Rapper aus Mainz und Mitgründer des Labels Buckwheats Music.   Biografie  Inspiriert durch Tupac Shakur begann Sebastian F,Separate
Q1068686,"Ott Tänak (born 15 October 1987 in Kärla Parish, Saaremaa) is an Estonian rally driver.  Career  Early career Tänak won the Estonian Rally Championship in 2008 and 2009, driving for the team run by fo",Ott Tänak
Q107148,Alexandra Engelhardt (born 29 December 1982 in Munich) is a German freestyle wrestler. She competed in the freestyle 48 kg event at the 2012 Summer Olympics and was eliminated in the 1/8 finals by May,Alexandra Engelhardt
Q1071765,"Chibuzor Aloysius Nwogbo, mit Kurznamen Buzo (* 31. Oktober 1990 in Jos) ist ein nigerianischer Fußballspieler.   Karriere  Nwogbo kam in der nigerianischen Stadt Jos auf die Welt und erlernte das Fuß",Chibuzor Nwogbo
Q107375,"miniatur|Carolyn Genzkow, Grimme-Preisverleihung 2011 Carolyn Sophia Genzkow (* 11. Juli 1992) ist eine deutsche Schauspielerin aus Hamburg.   Leben und Karriere  Carolyn Genzkow ist die Tochter eines",Carolyn Genzkow
Q1074511,    Daniyar Yeleussinov (b. 13 March 1991 Astana) is a Kazakh boxer who fought at the 2012 Olympics at junior welterweight.  Yeleussinov won the Asian Olympic Qualifier. He also won a gold medial at t,Daniyar Yeleussinov
Q1074516,"Charles (“Chip”) Bowne Peterson (born December 3, 1987 in Morehead City, North Carolina) is an American swimmer who specializes is long-distance freestyle swimming, especially open water swimming, in ",Chip Peterson
Q107615,"Erik Leue (born August 9, 1985) is a German sprint canoer who has competed since 2007. He won two medals at the ICF Canoe Sprint World Championships with a gold (C-2 1000 m: 2009) and a silver (C-4 10",Erik Leue
Q107622,"Nicole Schott (born 12 September 1996) is a German figure skater. She is the 2014 NRW Trophy champion and a two-time German national champion (2012, 2015).  Personal life Nicole Schott was born in Ess",Nicole Schott
Q1076913,Chris-Florian Treutler (* 1. Januar 1988 in Peine) ist ein deutscher Handballspieler.  Treutler wird meist auf Rückraum Mitte eingesetzt. Er kann jedoch auch auf Linksaußen und im linken Rückraum spie,Chris-Florian Treutler
Q1077444,Chris Langridge (born 2 May 1985) is a British badminton player. He competed for England at the 2014 Commonwealth Games where he won three medals.  References   External links     Category:1985 births,Chris Langridge
Q10792, Lars Hening Joel Ekstrand (born 4 February 1989) is a Swedish footballer who plays as a defender for Watford.   Career   Helsingborgs IF  Ekstrand started playing football for his home town club Lund,Joel Ekstrand
Q1079294,"Christian Dissinger (born November 15, 1991) is a German team handballer, currently playing for TuS N-Lübbecke and the German national team.  Club play  Dissinger started his career for the German clu",Christian Dissinger
Q1079499,"Christian Filips (* 22. November 1981 in Osthofen) ist ein deutscher Dichter, Dramaturg, Performer und Regisseur    Leben  Christian Filips wuchs in Osthofen bei Worms auf. Nach dem Besuch einer Europ",Christian Filips
Q1079800,"Christian Georg Bache (* 15. Januar 1987 in Åmot, Buskerud) ist ein schwedischer, vormals norwegischer, Biathlet.  Christian Bache startete für den Vestre Spone if. Er feierte seine bisherigen Erfolge",Christian Georg Bache
Q1080524,"Christian Järdler (born 3 June 1982) is a Swedish is a former footballer, who can play both defender and midfielder.  Career Starting his career in Ängelholms FF, he then moved at the age of 17 to Hel",Christian Järdler
Q1080549,"Christian Kandlbauer (* 6. November 1987; † 21. Oktober 2010 in Graz) war ein Österreicher, der weltweitLt. Angabe der meisten österreichischen Medien. Fallweise wird auch von „der erste Europäer“ ber",Christian Kandlbauer
Q1080641,Christian Knørr (* 5. August 1985) ist ein dänischer Radrennfahrer.  Christian Knørr wurde 2003 Zweiter bei den nationalen Meisterschaften im Zeitfahren der Junioren. Ein Jahr später wurde er dänische,Christian Knørr
Q1081201,Christian Müller (born 13 August 1983 in Offenbach am Main) is a German footballer.   External links     Category:1983 births Category:Living people Category:People from Offenbach am Main Category:Ger,"Christian Müller (footballer, born 1983)"
Q1081233,Christian Neuper (* 10. Oktober 1983) ist ein österreichischer Fußballspieler. Er ist beim SV Bad Aussee in der Ersten Liga als Verteidiger unter Vertrag. 2000 wechselte er gemeinsam mit seinem Bruder,Christian Neuper (Fußballspieler)
Q1081276,"Christian Ofner (* 20. September 1993 in Villach) ist ein österreichischer Eishockeyverteidiger, der seit 2010 für den EC VSV in der Erste Bank Eishockey Liga spielt.   Karriere  Christian Ofner began",Christian Ofner
Q1081373,"Christian Andreas Petru (* 14. Juni 1983 in Wien, Österreich) ist ein österreichischer Sänger, der 2008 durch das Star-Tagebuch von Super RTL bekannt wurde.   Karriere  Petru begann bereits Songs zu s",Christian Petru
Q1081929,"Christian John Skovgaard (* 1. August 1989) ist ein dänischer Badmintonspieler. Er ist der Sohn von Anne Skovgaard und Steen Skovgaard, beides ebenfalls erfolgreiche Badmintonspieler und der Bruder vo",Christian Skovgaard
Q1082298,"Christian Wieczorek (born December 9, 1985 in Bielefeld) is a German retired footballer who played as a Midfielder for FC Vaduz in the Swiss Super League.   Club career  Wieczorek started his career a",Christian Wieczorek
Q1082682,Christiane Gredigk (* 15. Juli 1982) ist eine frühere deutsche Crosslauf-Sommerbiathletin.  Christiane Gredigk nahm zunächst an den Junioren-Wettbewerben der Sommerbiathlon-Weltmeisterschaften 2000 in,Christiane Gredigk
Q1082707,"thumb|Moderatorin Christiane Imdahl Christiane Imdahl (* 5. April 1985 in Düsseldorf) ist eine deutsche Moderatorin, Filmschauspielerin und Sängerin.   Leben  Imdahl schloss im Jahr 2004 ihre Ausbildu",Christiane Imdahl
Q1082834,"mini|hochkant|Christiane Stenger, 2008 Christiane Stenger (* 4. Juni 1987 in München) ist eine deutsche Fernsehmoderatorin, ehemalige Nachwuchs-Gedächtnissportlerin und Sachbuch-Autorin.  Leben  In de",Christiane Stenger
Q1083042,Christie Sym (* 6. Dezember 1983) ist eine Triathletin aus Australien.   Werdegang  Ihr Spitzname ist „Syms“. Sie ist zweifache Junioren-Staatsmeisterin. 2009 wurde Christie Sym Zweite bei ihrem erste,Christie Sym
Q1083080,Christin Wan-Ting Tsai (* 11. Juli 1995) ist eine kanadische Badmintonspielerin.   Karriere Christin Tsai gewann bei den kanadischen Juniorenmeisterschaften 2010 und 2011 insgesamt drei Titel. Bei den,Christin Tsai
Q108309,Daniel Schlauch (* 28. Dezember 1982 in München) ist ein deutscher Synchronsprecher. Er ist die Standardstimme von Zac Efron.   Leben  Im Alter von vierzehn Jahren nahm er bei seinem ersten Casting in,Daniel Schlauch
Q1083113,Christina Bäumerich (* 4. Juni 1984 in Dülmenhttp://www.manganet.de/popup.php?cid=1457) ist eine deutsche Comiczeichnerin und Illustratorin.   Biografie  Ihre ersten Auftragsarbeiten hatte Christina B,Christina Bäumerich
Q1083160,thumb|Christina Haack beim Olympia-Qualifikationswettkampf 2012 in Mannheim Christina Haack (* 15. April 1987 in Herten als Anne Christina Haack) ist eine deutsche Leichtathletin. Ihre Spezialdiszipli,Christina Haack
Q108318,Julian Paeth (* 5. März 1987 in Flensburg) ist ein deutscher Schauspieler.  Paeth stand bereits im Alter von fünf Jahren vor der Kamera. Von 1999 bis 2004 verkörperte er seine wohl bekannteste Rolle P,Julian Paeth
Q1083695,"Christine Manie (born 4 May 1984) is an Cameroonian footballer. She plays as a defender for CFF Olimpia Cluj.   Honours  CFF Olimpia Cluj Winner  Romanian Superliga: 2012–13, 2013–14  Romanian Women's",Christine Manie
Q1084668,Christoph Böcher (* 17. Juli 1983 in Ludwigshafen) ist ein deutscher Fußballspieler. Er kann sowohl im Mittelfeld als auch in Verteidigung eingesetzt werden.   Karriere   Böcher ist aktuell bei Wormat,Christoph Böcher
Q1084776,Christoph Dübener (* 13. März 1987 in Lutherstadt Wittenberg) ist ein deutscher Handballspieler. Er spielt auf der Position Rückraum.  Im Alter von 16 Jahren kam er aus Oschatz ans Internat des Sportg,Christoph Dübener
Q1084984,Christoph Girschweiler (* 21. Januar 1981) ist ein ehemaliger Schweizer Radrennfahrer.  Leben Christoph Girschweiler begann seine Karriere 2003 bei dem Radsport-Team Macandina-Kewa Rad-VC Gippingen. 2,Christoph Girschweiler
Q108519,Marcel Stutter (born 6 March 1988) is a German footballer who last played as a midfielder for N.E.C. in the Eredivisie.   References   External links  Voetbal International profile   Category:1988 bir,Marcel Stutter
Q1085314,{{Infobox Naturbahnrodler  | kurzname = Christoph Knauder | bild = 250px|Christoph Knauder (vorne) mit seinem Bruder Thomas bei der EM 2010Christoph Knauder (vorne) bei der EM 2010 | langname =  | nat,Christoph Knauder
Q1085776,"Christoph Schindler (* 11. August 1983 in Elsterwerda) ist ein deutscher Handballspieler. Schindler spielt derzeit für den VfL Gummersbach in der Handball-Bundesliga, der höchsten deutschen Spielklass",Christoph Schindler
Q1086472,Christopher Alexander Komm (* 19. Mai 1985 in Delmenhorst) ist ein deutscher Sänger und Schauspieler.   Leben   Christopher Alexander Komm wurde als Sohn einer Kinderkrankenschwester und eines Technik,Christopher Alexander Komm
Q1086762,Christopher Hübner (born 15 November 1986 in Wiesbaden) is a German footballer who plays for SV Wiesbaden.   Personal  His brother Benjamin Hübner is also a professional footballer.  External links   ,Christopher Hübner
Q1086810,"Christopher Lamprecht (born 22 April 1985 in Stendal, East Germany) is a German footballer who is currently a free agent. He is a defender that can play right fullback as well as central defensive mid",Christopher Lamprecht
Q1086885,thumb|Christopher Park - Pianist (2008) Christopher Park (* 30. Juli 1987 in Bamberg) ist ein deutscher Pianist.   Leben  Der gebürtige Bamberger mit deutsch-koreanischen Wurzeln wuchs in Schloßborn a,Christopher Park
Q1086899,"Christopher Frank Pittman (born April 9, 1989 in Florida) was convicted by in 2005 of murdering his grandparents, Joe and Joy Pittman, at age 12, on November 28, 2001. The case drew national attention",Christopher Pittman
Q1087038,"thumb|upright=1.5|Christopher Vogt, 2013 Christopher Vogt (* 4. Januar 1984 in Bad Oldesloe) ist ein deutscher Politiker (FDP) und Mitglied des Landtages von Schleswig-Holstein.    Leben und Beruf  Vo",Christopher Vogt
Q10881,Claire Lauren Rafferty (born 11 January 1989) is an English female international footballer. She plays as a left back or left winger for Chelsea Ladies in the FA WSL.  Club career  Rafferty became a f,Claire Rafferty
Q1088427, is a Japanese male table tennis player. He is the gold medalist at the 2010 Youth Olympic Games and he won the World Junior Table Tennis Championships in 2010 (doubles) and 2011 (singles). He is curr,Koki Niwa
Q10885,Fara Tanya Franki Williams Merrett (born 25 January 1984) is an English football player. She is a central midfielder for England Women and FA WSL club Liverpool Ladies. A consistent goalscorer and set,Fara Williams
Q109041,"Nicole Nönnig (born August 9, 1982 in Karl-Marx-Stadt, Saxony) is a former German figure skater.  Nönnig started skating at age 4 at the Chemnitzer EC club. She began as a single skater, and her coach",Nicole Nönnig
Q109111,Dominique Kusche (* 7. Juni 1990 in Wermelskirchen) ist eine deutsche Schauspielerin.  Nach dem Abitur begann sie eine Ausbildung als Fertigungsmechanikerin. Sie wurde durch die Rolle der „Sophie Zieg,Dominique Kusche
