qid,english_name,culture_number,culture_name
Q399,Armenia,2,orthodox
Q43,Turkey,3,islamic
Q1028,Morocco,3,islamic
Q683,Samoa,4,south asia
Q784,Dominica,9,latin america
Q219,Bulgaria,2,orthodox
Q837,Nepal,4,south asia
Q1027,Mauritius,4,south asia
Q77,Uruguay,9,latin america
Q730,Suriname,5,africa
Q843,Pakistan,3,islamic
Q921,Brunei,4,south asia
Q45,Portugal,6,catholic europe
Q1033,Nigeria,5,africa
Q184,Belarus,2,orthodox
Q691,Papua New Guinea,4,south asia
Q869,Thailand,4,south asia
Q783,Honduras,9,latin america
Q836,Burma,4,south asia
Q189,Iceland,7,protestant europe
Q865,Republic of China,1,confucian
Q230,Georgia,2,orthodox
Q228,Andorra,6,catholic europe
Q833,Malaysia,4,south asia
Q983,Equatorial Guinea,5,africa
Q986,Eritrea,5,africa
Q863,Tajikistan,2,orthodox
Q664,New Zealand,8,english speaking
Q954,Zimbabwe,3,islamic
Q889,Afghanistan,3,islamic
Q929,Central African Republic,5,africa
Q792,El Salvador,9,latin america
Q754,Trinidad and Tobago,9,latin america
Q232,Kazakhstan,2,orthodox
Q236,Montenegro,2,orthodox
Q79,Egypt,3,islamic
Q1006,Guinea,5,africa
Q15180,Soviet Union,2,orthodox
Q1042,Seychelles,4,south asia
Q796,Iraq,3,islamic
Q221,Republic of Macedonia,2,orthodox
Q884,South Korea,1,confucian
Q1039,Sao Tomé and Príncipe,5,africa
Q917,Bhutan,4,south asia
Q878,United Arab Emirates,3,islamic
Q241,Cuba,9,latin america
Q1049,Sudan,5,africa
Q810,Jordan,3,islamic
Q657,Chad,5,africa
Q963,Botswana,5,africa
Q1019,Madagascar,5,africa
Q32,Luxembourg,6,catholic europe
Q4628,Faroe Islands,7,protestant europe
Q912,Mali,5,africa
Q265,Uzbekistan,2,orthodox
Q115,Ethiopia,5,africa
Q1011,Cape Verde,5,africa
Q1246,Kosovo,2,orthodox
Q672,Tuvalu,4,south asia
Q1041,Senegal,5,africa
Q1009,Cameroon,5,africa
Q786,Dominican Republic,9,latin america
Q1045,Somalia,5,africa
Q242,Belize,9,latin america
Q819,Laos,4,south asia
Q813,Kyrgyzstan,2,orthodox
Q1036,Uganda,5,africa
Q16957,East Germany,7,protestant europe
Q902,Bangladesh,4,south asia
Q1037,Rwanda,5,africa
Q1016,Libya,3,islamic
Q423,North Korea,1,confucian
Q1000,Gabon,5,africa
Q811,Nicaragua,9,latin america
Q967,Burundi,5,africa
Q962,Benin,5,africa
Q702,Federated States of Micronesia,4,south asia
Q804,Panama,9,latin america
Q974,Democratic Republic of the Congo,5,africa
Q766,Jamaica,9,latin america
Q800,Costa Rica,9,latin america
Q678,Tonga,4,south asia
Q790,Haiti,9,latin america
Q916,Angola,5,africa
Q424,Cambodia,4,south asia
Q1030,Namibia,5,africa
Q229,Cyprus,6,catholic europe
Q223,Greenland,7,protestant europe
Q1032,Niger,5,africa
Q756617,Kingdom of Denmark,7,protestant europe
Q1025,Mauritania,3,islamic
Q1014,Liberia,5,africa
Q1013,Lesotho,5,africa
Q736,Ecuador,9,latin america
Q924,Tanzania,5,africa
Q1007,Guinea-Bissau,5,africa
Q1008,Côte d'Ivoire,5,africa
Q2277,Roman Empire,6,catholic europe
Q874,Turkmenistan,2,orthodox
Q1044,Sierra Leone,5,africa
Q977,Djibouti,5,africa
Q1029,Mozambique,5,africa
Q164079,Kingdom of Hanover,7,protestant europe
Q781,Antigua and Barbuda,9,latin america
Q970,Comoros,5,africa
Q38872,Prussia,7,protestant europe
Q244,Barbados,9,latin america
Q710,Kiribati,4,south asia
Q965,Burkina Faso,5,africa
Q23334,Abkhazia,2,orthodox
Q769,Grenada,9,latin america
Q844930,Classical Athens,2,orthodox
Q778,The Bahamas,9,latin america
Q1050,Swaziland,5,africa
Q238,San Marino,6,catholic europe
Q945,Togo,4,south asia
Q822,Lebanon,3,islamic
Q334,Singapore,4,south asia
Q1020,Malawi,5,africa
Q1005,Gambia,5,africa
Q953,Zambia,5,africa
Q574,Timor-Leste,4,south asia
Q398,Bahrain,3,islamic
Q763,Saint Kitts and Nevis,9,latin america
Q219060,State of Palestine,3,islamic
Q817,Kuwait,3,islamic
Q34020,នីអ៊ូ,4,south asia
Q84,London,8,english speaking
Q685,Solomon Islands,4,south asia
Q34266,Russian Empire,2,orthodox
Q842,Oman,3,islamic
Q774,Guatemala,9,latin america
Q29999,Kingdom of the Netherlands,7,protestant europe
Q760,Saint Lucia,9,latin america
Q734,Guyana,9,latin america
Q712,Fiji,4,south asia
Q846,Qatar,3,islamic
Q6250,Western Sahara,5,africa
Q382593,New Netherland,8,english speaking
Q1747689,Ancient Rome,6,catholic europe
Q971,Republic of the Congo,5,africa
Q826,Maldives,4,south asia
Q235,Monaco,6,catholic europe
Q347,Liechtenstein,7,protestant europe
Q179876,Kingdom of England,8,english speaking
Q757,Saint Vincent and the Grenadines,9,latin america
Q697,Nauru,4,south asia
Q695,Palau,4,south asia
Q22890,Ireland,8,english speaking
Q12560,Ottoman Empire,3,islamic
Q1183,Puerto Rico,9,latin america
Q180573,South Vietnam,4,south asia
Q18097,Korea,1,confucian
Q93180,Seleucid Empire,3,islamic
Q709,Marshall Islands,4,south asia
Q193619,Union of South Africa,5,africa
Q21203,Aruba,9,latin america
Q686,Vanuatu,4,south asia
Q83286,Socialist Federal Republic of Yugoslavia,2,orthodox
Q282475,Kingdom of Kartli-Kakheti,2,orthodox
Q22502,Taiwan,1,confucian
Q7318,Nazi Germany,7,protestant europe
Q23635,Bermuda,9,latin america
Q171150,Kingdom of Hungary,6,catholic europe
Q25279,Curaçao,9,latin america
Q55502,Kingdom of Jerusalem,2,orthodox
Q206208,Puto,4,south asia
Q28513,Austria-Hungary,6,catholic europe
Q43287,German Empire,7,protestant europe
Q33946,Czechoslovakia,6,catholic europe
