"HITID","qid","en_label","aggregate_group","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"38EHZ67RILRA7A0OP474UUKU1GNGMY","http://wikidata.org/wiki/Q188712","Empire of Japan","","A3HSMUPSPOKD0M","Confucian","ABM77ZQWCHPNX","Confucian","Yes","Confucian","Wed Oct 29 03:33:18 UTC 2014"
"30ZKOOGW2V5C1U1WAIWWEGLO5AGA19","http://wikidata.org/wiki/Q18097","Korea","","A2WNW8A4MOR7T7","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 04:33:14 UTC 2014"
"3SBNLSTU6T47UXPG23WQWBD63SPZDO","http://wikidata.org/wiki/Q218023","Orange Free State","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 08:27:23 UTC 2014"
"3R4QIDVOJOBEB8CK2BTXHJU9FYHEEQ","http://wikidata.org/wiki/Q766","Jamaica","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 03:18:10 UTC 2014"
"3IYI9285WRZ7PQEYKLYTOB7YZU0JCN","http://wikidata.org/wiki/Q180114","Ayyubid dynasty","","A2WNW8A4MOR7T7","Islamic","AHZK68L2UCA70","Islamic","Yes","Islamic","Wed Oct 29 03:52:41 UTC 2014"
"3Z56AA6EK3Z8AHBIDRYII37572KM62","http://wikidata.org/wiki/Q36747","Native Americans","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 05:28:14 UTC 2014"
"3M7OI89LVXNV1VZR0244F72TDOGC6A","http://wikidata.org/wiki/Q22502","Taiwan","","A26L95RMC7I9TB","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 05:56:45 UTC 2014"
"36GJS3V78UPK62U3M7UCE2SDXMSJGX","http://wikidata.org/wiki/Q201190","Palestinian people","","A1GKEEI844CEKI","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 13:40:05 UTC 2014"
"3VW0145YLXBKYCQPXAS7R7CAT84JM5","http://wikidata.org/wiki/Q33946","Czechoslovakia","","A2WNW8A4MOR7T7","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 04:46:15 UTC 2014"
"32TZXEA1OKJXZ5LF1HM51DZOD0J14O","http://wikidata.org/wiki/Q207521","Abyssinia","","A2WNW8A4MOR7T7","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 05:30:29 UTC 2014"
"32W3UF2EZNKHM8VDHEBPI9IFHXAC4P","http://wikidata.org/wiki/Q219311","UK","","A26L95RMC7I9TB","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 06:03:44 UTC 2014"
"35U0MRQMUI6HPABVRFL3MZC9JVQOVA","http://wikidata.org/wiki/Q227","Azerbaijan","","A26L95RMC7I9TB","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 06:39:43 UTC 2014"
"3SNR5F7R91SQRDE6YUJO2YS17ROEIZ","http://wikidata.org/wiki/Q874","Turkmenistan","","A3HB9PPUZU565U","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 02:36:23 UTC 2014"
"3EQPA8A373VKXJP8CZI1Z98J8CMZJ2","http://wikidata.org/wiki/Q233","Malta","","A2WNW8A4MOR7T7","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 05:44:50 UTC 2014"
"3L7SUC0TTTTDW6P3B2I192XEUZYM01","http://wikidata.org/wiki/Q986","Eritrea","","A26L95RMC7I9TB","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 04:11:46 UTC 2014"
"3XBYQ44Z6O3AHRG8D6CY2B1APC9WTE","http://wikidata.org/wiki/Q3769","French Guiana","","A26L95RMC7I9TB","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 04:15:31 UTC 2014"
"306996CF6VJHK46OGWWS9R5UNS01BU","http://wikidata.org/wiki/Q23635","Bermuda","","A2WNW8A4MOR7T7","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 04:19:45 UTC 2014"
"33NOQL7T9NYVD2TPLVLAAJZ5S1SZ8I","http://wikidata.org/wiki/Q853348","Czechoslovak Socialist Republic","","A2WNW8A4MOR7T7","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 03:42:25 UTC 2014"
"3PN6H8C9R3P6TPH8QBGRFIMXU7JADZ","http://wikidata.org/wiki/Q23681","Turkish Republic of Northern Cyprus","","A26L95RMC7I9TB","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 04:08:40 UTC 2014"
"3P0I4CQYVX6U4ZB0HPQZ81VNQ4SWOS","http://wikidata.org/wiki/Q207272","Second Polish Republic","","A26L95RMC7I9TB","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 03:25:37 UTC 2014"
"32CAVSKPCDOWG3FUGNDNEHXICD81UC","http://wikidata.org/wiki/Q80702","Spanish Empire","","A343DCRTGQUY30","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 09:33:46 UTC 2014"
"3EGKVCRQFVREAAHRSL31NEG4UD9BY2","http://wikidata.org/wiki/Q924","Tanzania","","A343DCRTGQUY30","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 06:09:57 UTC 2014"
"373L46LKP65P8OQMCYFRCUK6439JK0","http://wikidata.org/wiki/Q211274","People's Republic of Poland","","A26L95RMC7I9TB","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 03:46:06 UTC 2014"
"3PUOXASB562VR7CZQNROAFUGC7AZ97","http://wikidata.org/wiki/Q878","United Arab Emirates","","A26L95RMC7I9TB","Islamic","A2QBRIK4G0WCBE","Islamic","Yes","Islamic","Wed Oct 29 06:05:21 UTC 2014"
"30Y6N4AHYOVYS63PSM2DA8B7UB6RDN","http://wikidata.org/wiki/Q1860","English","","A26L95RMC7I9TB","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 05:51:52 UTC 2014"
"37AQKJ12TWNIPACEI17NFRUBLIRTTL","http://wikidata.org/wiki/Q889","Afghanistan","","A26L95RMC7I9TB","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 04:15:39 UTC 2014"
"3E6L1VR4XVL247J1R4U5NDNWA186FF","http://wikidata.org/wiki/Q215530","Kingdom of Ireland","","A1SUU1QIRDZXJC","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 11:41:53 UTC 2014"
"3CMV9YRYP200SU84XYRSRUXLT3EJL3","http://wikidata.org/wiki/Q213353","Cisalpine Republic","","A1SUU1QIRDZXJC","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 11:40:00 UTC 2014"
"3TFJJUELSGO7JUGQD0S1PULHXJEC2T","http://wikidata.org/wiki/Q965","Burkina Faso","","A26L95RMC7I9TB","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 06:17:08 UTC 2014"
"3YOAVL4CAZGUU16N9SVXT7J0QFWZ4B","http://wikidata.org/wiki/Q778","The Bahamas","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:51:53 UTC 2014"
"3A3KKYU7P2G64WQO49BMGX6IV4DWMD","http://wikidata.org/wiki/Q1848","San Marino","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 08:20:22 UTC 2014"
"3T6EIBTM9KN8VIEW61PPPHER94MAAX","http://wikidata.org/wiki/Q213","Czech Republic","","A2WNW8A4MOR7T7","Catholic European","ABM77ZQWCHPNX","Catholic European","Yes","Catholic European","Wed Oct 29 05:48:51 UTC 2014"
"356TQKY9XEWCTSNJ20TRJZ66I8G78Z","http://wikidata.org/wiki/Q817","Kuwait","","A2BO8M77CS3SGZ","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 08:31:13 UTC 2014"
"3WUVMVA7OA29WQM4IT5O6A50IPSZAM","http://wikidata.org/wiki/Q188586","Kingdom of Sicily","","A1GKEEI844CEKI","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 13:43:03 UTC 2014"
"3511RHPADUDHQIRH5301TLJC3K8LRX","http://wikidata.org/wiki/Q7405","Sui dynasty","","A2WNW8A4MOR7T7","Confucian","A343DCRTGQUY30","Confucian","Yes","Confucian","Wed Oct 29 05:02:19 UTC 2014"
"34HEO7RUG5T0UZ0D8CBBK731989RAL","http://wikidata.org/wiki/Q851","Saudi Arabia","","A26L95RMC7I9TB","Islamic","A343DCRTGQUY30","Islamic","Yes","Islamic","Wed Oct 29 09:29:27 UTC 2014"
"3CRWSLD91J3YZNHMDNKCZ3TWS2EOMT","http://wikidata.org/wiki/Q884","South Korea","","A26L95RMC7I9TB","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 04:00:02 UTC 2014"
"31D0ZWOD09YCU5GEEZSW0B2E0IAA06","http://wikidata.org/wiki/Q846","Qatar","","A2WNW8A4MOR7T7","Islamic","A343DCRTGQUY30","Islamic","Yes","Islamic","Wed Oct 29 09:00:48 UTC 2014"
"3QO7EE372NM518Q51BM7ASD2V4SBQZ","http://wikidata.org/wiki/Q742582","Curac","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 05:24:41 UTC 2014"
"371QPA24C1NHGQ05GIND9LBGTZ11TL","http://wikidata.org/wiki/Q783432","Australosphenida","","A2QH1BQA6GR48O","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 09:55:55 UTC 2014"
"3TCFMTM8HDNNWR6SX33H8Y2QTMO21U","http://wikidata.org/wiki/Q217196","Crown of Castile","","A1SUU1QIRDZXJC","Catholic European","A26L95RMC7I9TB","Catholic European","Yes","Catholic European","Wed Oct 29 11:19:28 UTC 2014"
"3NBFJK3IOGHY7DL02KMHMY9ZWG2GOD","http://wikidata.org/wiki/Q963","Botswana","","A26L95RMC7I9TB","Africa","A2W2ZEI7WUASOW","Africa","Yes","Africa","Wed Oct 29 05:49:09 UTC 2014"
"30IRMPJWDYI66C9ZK3O0EL6XEK3RK0","http://wikidata.org/wiki/Q974","Democratic Republic of the Congo","","A2W2ZEI7WUASOW","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 04:01:19 UTC 2014"
"38LRF35D5KVSQ6T93RR62ACFAXL3U5","http://wikidata.org/wiki/Q8748","Albanian","","A2WNW8A4MOR7T7","Catholic European","AWISGDFIKTX85","Catholic European","Yes","Catholic European","Wed Oct 29 06:15:09 UTC 2014"
"3IZPORCT1E8F4M8REIL31TQ5M3ZRHW","http://wikidata.org/wiki/Q93180","Seleucid Empire","","A2WNW8A4MOR7T7","Islamic","A7NZ814Q5MX2R","Islamic","Yes","Islamic","Wed Oct 29 09:12:25 UTC 2014"
"37NXA7GVSS59JP8YEN5BUI8FOQLLVQ","http://wikidata.org/wiki/Q846570","Americans","","A2P6VK1US8OTC5","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:47:24 UTC 2014"
"3ODOP6T3ARJ4OQ3BKLMJ6W9T56X428","http://wikidata.org/wiki/Q238","San Marino","","A2WNW8A4MOR7T7","Catholic European","A3HZT1JQU1PFB8","Catholic European","Yes","Catholic European","Wed Oct 29 04:31:13 UTC 2014"
"3MWOYZD5WUN4H52MPOZCCIIWXSOONT","http://wikidata.org/wiki/Q916","Angola","","A26L95RMC7I9TB","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 06:41:42 UTC 2014"
"33Q5P9PUSOLXP5J2271FC5VOISDZCO","http://wikidata.org/wiki/Q970","Comoros","","A2WNW8A4MOR7T7","Africa","A343DCRTGQUY30","Africa","Yes","Africa","Wed Oct 29 06:01:40 UTC 2014"
"3BPP3MA3TBJSHEMCJXG1UEKTOVIELD","http://wikidata.org/wiki/Q958","South Sudan","","A1GKEEI844CEKI","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 12:44:22 UTC 2014"
"33NOQL7T9NYVD2TPLVLAAJZ5S1S8ZR","http://wikidata.org/wiki/Q81931","Confederate States of America","","A26L95RMC7I9TB","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 05:10:31 UTC 2014"
"3TZ0XG8CBTJG7BBCHXRBXVXCDY398C","http://wikidata.org/wiki/Q215","Slovenia","","A2WNW8A4MOR7T7","Catholic European","A343DCRTGQUY30","Catholic European","Yes","Catholic European","Wed Oct 29 09:07:07 UTC 2014"
"3HJ1EVZS2NI0AE1SZXW1XZPV3YH3R1","http://wikidata.org/wiki/Q837855","Qi","","A1GKEEI844CEKI","Confucian","AQ36OBO2GRA00","Confucian","Yes","Confucian","Wed Oct 29 12:36:52 UTC 2014"
"3FCO4VKOZ3CT2TXAF3FRB92STBE7EY","http://wikidata.org/wiki/Q209062","Socialist Republic of Croatia","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 05:03:08 UTC 2014"
"36U4VBVNQNCK98EBEHS2K8FVGB1RUX","http://wikidata.org/wiki/Q423","North Korea","","A2WNW8A4MOR7T7","Confucian","A343DCRTGQUY30","Confucian","Yes","Confucian","Wed Oct 29 07:32:46 UTC 2014"
"3MA5N0ATTBABE8QLJXY61KEE6ZIWK8","http://wikidata.org/wiki/Q8733","Qing dynasty","","A26L95RMC7I9TB","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 06:15:46 UTC 2014"
"3RQVKZ7ZRJI17DLUMJKQ98T3W8O27R","http://wikidata.org/wiki/Q408","Australia","","A2WNW8A4MOR7T7","English-speaking","A343DCRTGQUY30","English-speaking","Yes","English-speaking","Wed Oct 29 09:32:42 UTC 2014"
"3WKGUBL7SYLAPCPJUR4OLS82B6P4LY","http://wikidata.org/wiki/Q9648","Falkland Islands","","A26L95RMC7I9TB","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 05:33:34 UTC 2014"
"3YD0MU1NC10QCGGYZYD5FQC18WGA76","http://wikidata.org/wiki/Q205662","Tokugawa shogunate","","A26L95RMC7I9TB","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 04:58:05 UTC 2014"
"3S37Y8CWI7ZQ061IY5BQU3PI9DT4WR","http://wikidata.org/wiki/Q25","Wales","","A26L95RMC7I9TB","English-speaking","A2QH1BQA6GR48O","English-speaking","Yes","English-speaking","Wed Oct 29 09:43:43 UTC 2014"
"3R868ACW4RBA6HZ74TXY2WG3GK5ZGY","http://wikidata.org/wiki/Q228","Andorra","","A26L95RMC7I9TB","Catholic European","A343DCRTGQUY30","Catholic European","Yes","Catholic European","Wed Oct 29 04:49:08 UTC 2014"
"3FJ2RVH25Y55LW9N1GIAN4K9RYC293","http://wikidata.org/wiki/Q42585","Kingdom of Bohemia","","A26L95RMC7I9TB","Catholic European","A2QH1BQA6GR48O","Catholic European","Yes","Catholic European","Wed Oct 29 10:07:36 UTC 2014"
"32CAVSKPCDOWG3FUGNDNEHXICD7U14","http://wikidata.org/wiki/Q22","Scotland","","A26L95RMC7I9TB","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 05:26:00 UTC 2014"
"3DGDV62G7N8QDJPUI5E79UKOW2TP2K","http://wikidata.org/wiki/Q252580","Duchy of Modena and Reggio","","A1GKEEI844CEKI","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 13:28:18 UTC 2014"
"3FBEFUUYRJ478G2TGO8D9CC5DLV6A2","http://wikidata.org/wiki/Q849967","Britons","","A2WNW8A4MOR7T7","English-speaking","A7NZ814Q5MX2R","English-speaking","Yes","English-speaking","Wed Oct 29 09:39:02 UTC 2014"
"3X55NP42ENFFY1LDM5SCS4PG2GTP3V","http://wikidata.org/wiki/Q28233","Korean Empire","","A2WNW8A4MOR7T7","Confucian","A343DCRTGQUY30","Confucian","Yes","Confucian","Wed Oct 29 09:35:14 UTC 2014"
"3XDSWAMB21ROBDIBFBI2LCJKDPTCQ8","http://wikidata.org/wiki/Q29","Spain","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 05:30:34 UTC 2014"
"3SA4EMRVJU1JH9MG3IATQ6R9Z49P00","http://wikidata.org/wiki/Q23666","Great Britain","","A26L95RMC7I9TB","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 05:05:37 UTC 2014"
"3TD33TP5DK1DESJOCFPLKSYXRM7ABS","http://wikidata.org/wiki/Q223936","Kingdom of Italy","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 05:02:09 UTC 2014"
"38LRF35D5KVSQ6T93RR62ACFAXLU3W","http://wikidata.org/wiki/Q224","Croatia","","A2WNW8A4MOR7T7","Catholic European","A343DCRTGQUY30","Catholic European","Yes","Catholic European","Wed Oct 29 05:42:22 UTC 2014"
"3NC6WP7WJGJ298K28BH9PV89T6RWW4","http://wikidata.org/wiki/Q4064166","Q4064166","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:40:33 UTC 2014"
"359AP8GAGFJE5VDWJC9WLL2P8Z0C79","http://wikidata.org/wiki/Q230791","Kingdom of Scotland","","A2WNW8A4MOR7T7","English-speaking","A343DCRTGQUY30","English-speaking","Yes","English-speaking","Wed Oct 29 09:28:43 UTC 2014"
"33W1NHWFYGKEBMLDOTW51FVS6EDZT7","http://wikidata.org/wiki/Q600093","Habsburg Spain","","A1GKEEI844CEKI","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 12:43:28 UTC 2014"
"3VMV5CHJZ7EEK5Q8Y18GG8FMVOJGTZ","http://wikidata.org/wiki/Q3496079","Czech Republic","","A26L95RMC7I9TB","Catholic European","A343DCRTGQUY30","Catholic European","Yes","Catholic European","Wed Oct 29 08:20:01 UTC 2014"
"3VI0PC2ZAXJ9TZGQRUMLAK9UZ6YOXD","http://wikidata.org/wiki/Q231002","nationality","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:58:12 UTC 2014"
"3DFYDSXB2VZ3BKVY6CJTIHT46U7JUX","http://wikidata.org/wiki/Q28179","Joseon","","A26L95RMC7I9TB","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 06:05:38 UTC 2014"
"3UQVX1UPFRGNP2LA1KZHUTJGOUI20R","http://wikidata.org/wiki/Q202156","province of Ireland","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:27:00 UTC 2014"
"3VEI3XUCZQW7H36FXVT8A2SW8U9RP1","http://wikidata.org/wiki/Q382553","Arverni","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 05:29:22 UTC 2014"
"3I01FDIL6L7HOMM4DWNC903ZIJR2DK","http://wikidata.org/wiki/Q27","Republic of Ireland","","A2QH1BQA6GR48O","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 09:50:23 UTC 2014"
"3WA2XVDZELGAYTJ5WTAZ5V2WY0T6EX","http://wikidata.org/wiki/Q9683","Tang dynasty","","A26L95RMC7I9TB","Confucian","A343DCRTGQUY30","Confucian","Yes","Confucian","Wed Oct 29 10:12:23 UTC 2014"
"3W0XM68YZOUID7AIM99L8UOKAM9K1X","http://wikidata.org/wiki/Q1011","Cape Verde","","A1GKEEI844CEKI","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 13:06:01 UTC 2014"
"3ZFRE2BDQ8DLS3UXT3X2QIGYJA1ZXQ","http://wikidata.org/wiki/Q685","Solomon Islands","","A2WNW8A4MOR7T7","English-speaking","A343DCRTGQUY30","English-speaking","Yes","English-speaking","Wed Oct 29 09:36:36 UTC 2014"
"39RRBHZ0AT0TOEP2TOWK2XJD3ZTZVN","http://wikidata.org/wiki/Q649202","Duchy of Urbino","","A16G716K9428HM","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 14:31:10 UTC 2014"
"3SZYX62S5FZT6A4H42MO7FWFGIF75X","http://wikidata.org/wiki/Q7462","Song dynasty","","A1GKEEI844CEKI","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 12:40:41 UTC 2014"
"3YLPJ8OXX7C5P6688A7CWM3PIFZ4XK","http://wikidata.org/wiki/Q26","Northern Ireland","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:45:07 UTC 2014"
"3GS542CVJUMXKTSAJZK8LBNLB8295A","http://wikidata.org/wiki/Q1991472","United States of Africa","","A1GKEEI844CEKI","Africa","A26L95RMC7I9TB","Africa","Yes","Africa","Wed Oct 29 13:45:33 UTC 2014"
"3CVDZS288GZ4TA4TEK1MC9KI01NMF5","http://wikidata.org/wiki/Q56421","Hopi language","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:59:10 UTC 2014"
"3CESM1J3EH24FT5WHT45R19W54Y6WD","http://wikidata.org/wiki/Q696242","Reorganized National Government of China","","A26L95RMC7I9TB","Confucian","A2WNW8A4MOR7T7","Confucian","Yes","Confucian","Wed Oct 29 08:30:04 UTC 2014"
"31KSVEGZ33RX1C3G9H732W0S1RCRWW","http://wikidata.org/wiki/Q4712","Duchy of Burgundy","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 08:28:34 UTC 2014"
"3VZYA8PITNXFOZ4XJ31FS0MS84950V","http://wikidata.org/wiki/Q28456","Silla","","A2WNW8A4MOR7T7","Confucian","A343DCRTGQUY30","Confucian","Yes","Confucian","Wed Oct 29 08:47:21 UTC 2014"
