qid,en_label,Answer1,Answer2,Answer,Answer-Piotr
http://wikidata.org/wiki/Q200569,Dutch people,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q475021,Vlachs,Latin America,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q6024095,Indians in Kenya,Africa,South Asia,South Asia,Africa
http://wikidata.org/wiki/Q7994447,White Australian,English-speaking,South Asia,English-speaking,English-speaking
http://wikidata.org/wiki/Q3107473,Jew,English-speaking,Orthodox,Orthodox,Jewish
http://wikidata.org/wiki/Q7258666,Puerto Ricans in the United States,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q7513830,Sikkimese,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q3075017,African immigration to France,Africa,Catholic European,Africa,Catholic European
http://wikidata.org/wiki/Q1282294,Gujarati people,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q857880,French Canadian,Catholic European,English-speaking,Catholic European,Catholic European
http://wikidata.org/wiki/Q891146,Armenians in the Ottoman Empire,Islamic,Protestant European,Orthodox,Orthodox
http://wikidata.org/wiki/Q541508,Anglo-Norman,Catholic European,Protestant European,English-speaking,English-speaking
http://wikidata.org/wiki/Q4887679,Bengali Hindus,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q79797,Armenians,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q2918061,People of Ethiopia,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q1044876,Xibe people,Confucian,Orthodox,Confucian,Confucian
http://wikidata.org/wiki/Q1258074,Sindhi people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q4857320,Banu Taym,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q788321,German Chilean,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q1377716,Belgians,Catholic European,Protestant European,Catholic European,Catholic European
http://wikidata.org/wiki/Q11768,Ancient Egypt,Africa,Islamic,Africa,pre-modern Middle East
http://wikidata.org/wiki/Q727928,Asian American,English-speaking,South Asia,Confucian,English-speaking
http://wikidata.org/wiki/Q18973,Georgian people,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q4998637,Burgher,Catholic European,Orthodox,South Asia,South Asia
http://wikidata.org/wiki/Q590247,Alur,Africa,South Asia,Africa,Africa
http://wikidata.org/wiki/Q2986879,British African-Caribbean people,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q106713,Mestizo,Catholic European,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q932244,Sinhalese people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q3198706,Kono people,Confucian,Orthodox,Africa,Africa
http://wikidata.org/wiki/Q237534,Austrians,Catholic European,English-speaking,Protestant European,Protestant European
http://wikidata.org/wiki/Q1183,Puerto Rico,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q37,Lithuania,Catholic European,Orthodox,Catholic European,Catholic European
http://wikidata.org/wiki/Q2401619,Banu Zuhrah,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q1998273,Ingrian Finns,Catholic European,Orthodox,Protestant European,Protestant European
http://wikidata.org/wiki/Q311883,Maranao people,Africa,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q653884,Hispanic America,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q5187,Chechen Republic,Islamic,Orthodox,Orthodox,Islamic
http://wikidata.org/wiki/Q118281,Kannada people,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q402913,Bengali people,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q147401,Zapotec peoples,Catholic European,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q72484,Tay people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q2021092,German Russian,Orthodox,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q510023,Paiute people,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q165235,Bosnians,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q36411,Shipibo-Conibo people,Africa,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q5172105,Coromantee,Africa,English-speaking,Africa,Africa
http://wikidata.org/wiki/Q46118,Uyghur people,Confucian,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q875651,Irish Travellers,Catholic European,English-speaking,English-speaking,English-speaking
http://wikidata.org/wiki/Q1242155,Albanians in Kosovo,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q6529576,Bihari people,Islamic,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q3346380,Kachin people,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q2633574,Banu Tamim,Catholic European,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q2033181,White Latin American,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q1123923,Nez Perce people,English-speaking,Latin America,English-speaking,English-speaking
http://wikidata.org/wiki/Q1408764,Circassia,English-speaking,Islamic,Orthodox,Orthodox
http://wikidata.org/wiki/Q6510842,Lebanese American,English-speaking,Islamic,Islamic,English-speaking
http://wikidata.org/wiki/Q748316,Temne people,Africa,Islamic,Africa,Africa
http://wikidata.org/wiki/Q690869,Ruthenians (historical ethnonym),Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q628490,Mountain Jews,English-speaking,Orthodox,Orthodox,Jewish
http://wikidata.org/wiki/Q1217927,Dutch Burghers,Catholic European,Protestant European,Protestant European,Protestant European
http://wikidata.org/wiki/Q160894,Spanish people,Catholic European,Latin America,Catholic European,Catholic European
http://wikidata.org/wiki/Q7507476,Sicilian American,English-speaking,Latin America,Catholic European,English-speaking
http://wikidata.org/wiki/Q902,Bangladesh,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q172717,Avar people,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q799929,Gisu people,Africa,English-speaking,Africa,Africa
http://wikidata.org/wiki/Q6869724,Minuane people,Africa,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q196194,Romani,Catholic European,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q41975,Mongols,Confucian,South Asia,Confucian,Confucian
http://wikidata.org/wiki/Q1060991,Chamorro people,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q244157,Igbo people,Africa,South Asia,Africa,Africa
http://wikidata.org/wiki/Q10090,Hindu,Confucian,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q13219195,Banu Salmah,Confucian,South Asia,Islamic,Islamic
http://wikidata.org/wiki/Q467790,Mansi people,Africa,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q179248,Albanians,Orthodox,Protestant European,Islamic,Islamic
http://wikidata.org/wiki/Q191923,Mulatto,English-speaking,Latin America,Latin America,Latin America
http://wikidata.org/wiki/Q381151,Walloons,Catholic European,Protestant European,Catholic European,Catholic European
http://wikidata.org/wiki/Q115473,Hazara people,Islamic,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q2672654,History of the Jews in Morocco,Africa,Orthodox,Islamic,invalid entry
http://wikidata.org/wiki/Q7403051,Sakonnet,English-speaking,Islamic,English-speaking,English-speaking
http://wikidata.org/wiki/Q1891793,Moroccan people,Africa,Islamic,Islamic,Islamic
http://wikidata.org/wiki/Q336136,Banu Bariq,Islamic,South Asia,Islamic,Islamic
http://wikidata.org/wiki/Q15763,Circassians,Islamic,Orthodox,Orthodox,Orthodox
http://wikidata.org/wiki/Q371230,Ngāi Tahu,English-speaking,South Asia,South Asia,South Asia
http://wikidata.org/wiki/Q1473943,Shapsugs,Confucian,Orthodox,Islamic,Islamic
http://wikidata.org/wiki/Q5869624,History of the Jews in Bessarabia,Islamic,Orthodox,Islamic,invalid entry
http://wikidata.org/wiki/Q46713,Saraiki people,Protestant European,South Asia,no_agreement,Islamic  
http://wikidata.org/wiki/Q4987,Banu Hashim,Islamic,South Asia,Islamic,Islamic
