"HITID","qid","en_label","aggregate_group","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3VDI8GSXAESVMLYKV3XLPCJZHBY8G2","http://wikidata.org/wiki/Q1790886","Cuban American","","A1GKEEI844CEKI","Latin America","AXMPSUNKUBEIL","Latin America","Yes","Latin America","Wed Oct 29 00:43:49 UTC 2014"
"3P6ENY9P78V2BN58OVRUN1PEZ7FHIH","http://wikidata.org/wiki/Q107434","Sioux","","A2YDKZI930GXVP","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:07:37 UTC 2014"
"3DA79LNS58UDQTEK3M1WXEQDRJDT33","http://wikidata.org/wiki/Q5330004","Eastern Band of Cherokee Indians","","A1GKEEI844CEKI","English-speaking","A2YDKZI930GXVP","English-speaking","Yes","English-speaking","Wed Oct 29 00:38:45 UTC 2014"
"3L55D8AUF9WXKF9X6LZWYYMMCY8YCV","http://wikidata.org/wiki/Q483505","Tajik people","","A1GKEEI844CEKI","Islamic","A2YDKZI930GXVP","Islamic","Yes","Islamic","Wed Oct 29 00:51:23 UTC 2014"
"3OYHVNTV5SX39ZHJSB7WKQ1S3XIKOJ","http://wikidata.org/wiki/Q1956640","Anishinaabe","","A2QH1BQA6GR48O","English-speaking","A2YDKZI930GXVP","English-speaking","Yes","English-speaking","Wed Oct 29 09:56:09 UTC 2014"
"3VMHWJRYHUFFNM3XSR3VNQ0G757FXI","http://wikidata.org/wiki/Q2996826","Venezuelan people","","A2WNW8A4MOR7T7","Latin America","A3HSMUPSPOKD0M","Latin America","Yes","Latin America","Wed Oct 29 00:56:02 UTC 2014"
"3B286OTISDGJWBH00722IGHAZRFAJC","http://wikidata.org/wiki/Q822","Lebanon","","A1GKEEI844CEKI","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 00:55:12 UTC 2014"
"3XEDXEGFX2NI6IP0QQ5LUP5A5U30KA","http://wikidata.org/wiki/Q427838","Kadazan-Dusun","","A1GKEEI844CEKI","South Asia","A1NJ1IJLKAS0Y4","South Asia","Yes","South Asia","Wed Oct 29 01:13:57 UTC 2014"
"3W5PY7V3UO6KSTF3GDGIL2ZH2IHJYU","http://wikidata.org/wiki/Q843","Pakistan","","A1NJ1IJLKAS0Y4","Islamic","A2YDKZI930GXVP","Islamic","Yes","Islamic","Wed Oct 29 00:41:15 UTC 2014"
"3UYRNV2KISY1WDF6I7AGFWSWINK8NA","http://wikidata.org/wiki/Q44806","Ukrainians","","A2YDKZI930GXVP","Orthodox","A3HSMUPSPOKD0M","Orthodox","Yes","Orthodox","Wed Oct 29 01:24:12 UTC 2014"
"3AA88CN98O2F3DLLYYGUMHZUH7IKYV","http://wikidata.org/wiki/Q202575","Fula people","","A1GKEEI844CEKI","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 00:40:32 UTC 2014"
"32ZCLEW0BYJQJFN2PQKZ8B65YDEPJ6","http://wikidata.org/wiki/Q906900","Filipinos in Japan","","A2WNW8A4MOR7T7","Confucian","A2YDKZI930GXVP","Confucian","Yes","Confucian","Wed Oct 29 04:27:45 UTC 2014"
"308KJXFUJQ5DAED5C1G6KM4JXT6ATH","http://wikidata.org/wiki/Q124216","Swiss people","","A1NJ1IJLKAS0Y4","Protestant European","A2YDKZI930GXVP","Protestant European","Yes","Protestant European","Wed Oct 29 00:38:52 UTC 2014"
"36MUZ9VAE519J2YK6GIDB1COFMGDEW","http://wikidata.org/wiki/Q1003039","Chinese Singaporean","","A1GKEEI844CEKI","South Asia","A3HB9PPUZU565U","South Asia","Yes","South Asia","Wed Oct 29 01:32:22 UTC 2014"
"3TRB893CSI9RM7T1LY5FBCN46RSG7N","http://wikidata.org/wiki/Q461282","Yi people","","A1NJ1IJLKAS0Y4","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:18:18 UTC 2014"
"3TL87MO8CLOKNSM8E807CW5T0WXLF2","http://wikidata.org/wiki/Q403656","Baganda","","A1GKEEI844CEKI","Africa","A26L95RMC7I9TB","Africa","Yes","Africa","Wed Oct 29 03:45:54 UTC 2014"
"3MNJFORX8A36L3JNMLK0V79WE6WF57","http://wikidata.org/wiki/Q1965974","Demographics of the United States","","A1GKEEI844CEKI","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:17:02 UTC 2014"
"3BAWBGQGYKYA44JWAT41BDQET6FV7Q","http://wikidata.org/wiki/Q145","United Kingdom","","A1GKEEI844CEKI","English-speaking","A3HB9PPUZU565U","English-speaking","Yes","English-speaking","Wed Oct 29 01:31:31 UTC 2014"
"3JTPR5MTZRBH1PB1NWBXBK11M2DK5E","http://wikidata.org/wiki/Q12014472","Khuzestan Arabs","","A1NJ1IJLKAS0Y4","Islamic","A3HSMUPSPOKD0M","Islamic","Yes","Islamic","Wed Oct 29 01:28:51 UTC 2014"
"3BC9H1KCYTB6YDF2NCZXASTP4ERYW5","http://wikidata.org/wiki/Q543213","Persian","","A1GKEEI844CEKI","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 03:28:34 UTC 2014"
"329E6HTMSV1ENAOX9DN4WN3H86N3K8","http://wikidata.org/wiki/Q536129","Tlingit people","","A1GKEEI844CEKI","English-speaking","A343DCRTGQUY30","English-speaking","Yes","English-speaking","Wed Oct 29 06:04:04 UTC 2014"
"3D1TUISJWHZ7G9BSOUYT6GE4TFIIUK","http://wikidata.org/wiki/Q35323","Arab","","A1GKEEI844CEKI","Islamic","AHZK68L2UCA70","Islamic","Yes","Islamic","Wed Oct 29 02:10:15 UTC 2014"
"3D42WVSDH7U4NRT7XNPX647P9B0YF6","http://wikidata.org/wiki/Q58669","Hispanic and Latino Americans","","A1GKEEI844CEKI","Latin America","A2WNW8A4MOR7T7","Latin America","Yes","Latin America","Wed Oct 29 03:32:03 UTC 2014"
"3HEM8MA6H8B752RFKG485CIRC87QPZ","http://wikidata.org/wiki/Q30","United States of America","","A1GKEEI844CEKI","English-speaking","A2T7HLGR4UMO39","English-speaking","Yes","English-speaking","Wed Oct 29 01:09:41 UTC 2014"
"3IVEC1GSLOYN2N404O997FO7VX9J1X","http://wikidata.org/wiki/Q49078","White American","","A1NJ1IJLKAS0Y4","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 04:06:48 UTC 2014"
"3KQC8JMJGBRNLKNP3SK7JVNPGPJ3H4","http://wikidata.org/wiki/Q474202","Seminole","","A1NJ1IJLKAS0Y4","English-speaking","A3HB9PPUZU565U","English-speaking","Yes","English-speaking","Wed Oct 29 01:24:49 UTC 2014"
"30Z7M1Q8UXJUCULH935BTQ8WJGL8AQ","http://wikidata.org/wiki/Q145665","Manchu","","A1GKEEI844CEKI","Confucian","A26L95RMC7I9TB","Confucian","Yes","Confucian","Wed Oct 29 04:58:19 UTC 2014"
"3VAOOVPI3YR6NKW40J3579ADXSJLL7","http://wikidata.org/wiki/Q49297","Native Americans in the United States","","A1GKEEI844CEKI","English-speaking","A3HB9PPUZU565U","English-speaking","Yes","English-speaking","Wed Oct 29 02:34:09 UTC 2014"
"37NXA7GVSS59JP8YEN5BUI8FOQKVLZ","http://wikidata.org/wiki/Q418708","Telugu people","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:04:02 UTC 2014"
"3SCKNODZ0WFXWZAN82IA1WW173DN71","http://wikidata.org/wiki/Q22633","Germanic peoples","","A2T7HLGR4UMO39","Protestant European","A2UFJC7YN3N0YX","Protestant European","Yes","Protestant European","Wed Oct 29 02:20:32 UTC 2014"
"3I7KR83SN9C02CDDQMOEN0638YWK95","http://wikidata.org/wiki/Q1265028","Marathi people","","A1GKEEI844CEKI","South Asia","A26L95RMC7I9TB","South Asia","Yes","South Asia","Wed Oct 29 04:03:50 UTC 2014"
"35ZRNT9RUHXXD19C75FX34KQSBXO3D","http://wikidata.org/wiki/Q3607660","Alak people","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:01:46 UTC 2014"
"3HJ1EVZS2NI0AE1SZXW1XZPV3YHR3P","http://wikidata.org/wiki/Q660947","Hakka people","","A1GKEEI844CEKI","Confucian","A3HSMUPSPOKD0M","Confucian","Yes","Confucian","Wed Oct 29 01:32:02 UTC 2014"
"3UEDKCTP9UPWOTPKBPQU94FXD88K7T","http://wikidata.org/wiki/Q223","Greenland","","A1NJ1IJLKAS0Y4","Protestant European","A343DCRTGQUY30","Protestant European","Yes","Protestant European","Wed Oct 29 03:40:33 UTC 2014"
"3TKSOBLOHKFIX2OGITPHF3I394RBBN","http://wikidata.org/wiki/Q3565504","Kigezi District","","A1GKEEI844CEKI","Africa","A1VS2PFZRWWPO3","Africa","Yes","Africa","Wed Oct 29 13:41:58 UTC 2014"
"3BO3NEOQMZGN10XUIPH26F2AMCQIA8","http://wikidata.org/wiki/Q1061","Gujarat","","A1GKEEI844CEKI","South Asia","A26L95RMC7I9TB","South Asia","Yes","South Asia","Wed Oct 29 05:17:37 UTC 2014"
"373L46LKP65P8OQMCYFRCUK6438KJ0","http://wikidata.org/wiki/Q15863","Slovenes","","A1GKEEI844CEKI","Catholic European","AWRAXV1RIYR0M","Catholic European","Yes","Catholic European","Wed Oct 29 13:49:16 UTC 2014"
"3O2Y2UIUCPT93M4QT8O6XWSEBWRKFX","http://wikidata.org/wiki/Q277647","Luhya","","A1GKEEI844CEKI","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 01:14:39 UTC 2014"
"3RBI0I35XD297FDEDSOV5VIS6LVY3X","http://wikidata.org/wiki/Q31","Belgium","","A2T7HLGR4UMO39","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 01:27:28 UTC 2014"
"3SD15I2WD1T7OV3879T3M4YZ7B3363","http://wikidata.org/wiki/Q3003133","Croatian American","","A1GKEEI844CEKI","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 04:14:04 UTC 2014"
"3FK4G712NWZGVAMK41X7VH23HGYSS5","http://wikidata.org/wiki/Q15026","chair","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 03:43:11 UTC 2014"
"3AJA9FLWSBXIXRE2T53UKGD1JS3IFL","http://wikidata.org/wiki/Q2258527","Indigenous peoples in Colombia","","A1NJ1IJLKAS0Y4","Latin America","A2P6VK1US8OTC5","Latin America","Yes","Latin America","Wed Oct 29 12:47:53 UTC 2014"
"3ZG552ORAL33I3MQ4HN6FM96IQTV2A","http://wikidata.org/wiki/Q216151","Vietnamese people","","A1NJ1IJLKAS0Y4","South Asia","A26L95RMC7I9TB","South Asia","Yes","South Asia","Wed Oct 29 05:32:17 UTC 2014"
"3P520RYKCG5V4LGDHAFZH7AZOTC5UX","http://wikidata.org/wiki/Q424129","Papuan people","","A1GKEEI844CEKI","South Asia","A2WNW8A4MOR7T7","South Asia","Yes","South Asia","Wed Oct 29 01:33:30 UTC 2014"
"3X0EMNLXEOOZAANW6FYIBZHZT0LPVR","http://wikidata.org/wiki/Q1287940","Assamese people","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:13:24 UTC 2014"
"34R0BODSP0YEFPJRRA0UDPOW25I5EG","http://wikidata.org/wiki/Q204333","Arab citizens of Israel","","A1GKEEI844CEKI","Islamic","A343DCRTGQUY30","Islamic","Yes","Islamic","Wed Oct 29 04:52:42 UTC 2014"
"344M16OZKHEI5EPXVAWG76OITQHNEN","http://wikidata.org/wiki/Q1467740","Ottoman Greeks","","A1GKEEI844CEKI","Orthodox","A3HB9PPUZU565U","Orthodox","Yes","Orthodox","Wed Oct 29 01:31:11 UTC 2014"
"3T6SSHJUZE927IGSUD9FNDQTZKVIIC","http://wikidata.org/wiki/Q2643509","Indian American","","A3HB9PPUZU565U","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:28:02 UTC 2014"
"3N5YJ55YXF2FF18LF5UUBNYR8BJNAS","http://wikidata.org/wiki/Q1287427","Dogra","","A1NJ1IJLKAS0Y4","South Asia","A2WNW8A4MOR7T7","South Asia","Yes","South Asia","Wed Oct 29 01:08:19 UTC 2014"
"34R3P23QHR0KCIPDDCV9OSYMEIDHWO","http://wikidata.org/wiki/Q15111547","Q15111547","","A1GKEEI844CEKI","English-speaking","AS809NPDW8VZ0","English-speaking","Yes","English-speaking","Wed Oct 29 08:45:38 UTC 2014"
"3P7RGTLO6DCE7VNIIS2EJVHNEGFAKB","http://wikidata.org/wiki/Q869","Thailand","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:09:46 UTC 2014"
"3TLFH2L6Y8NO5BI1ZMNRE4LLL5DT2S","http://wikidata.org/wiki/Q49085","African American","","A1GKEEI844CEKI","English-speaking","A26L95RMC7I9TB","English-speaking","Yes","English-speaking","Wed Oct 29 05:44:27 UTC 2014"
"3M0556243RJABSPTQLGMPO9I5RXFNY","http://wikidata.org/wiki/Q120601","Omaha people","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 01:30:36 UTC 2014"
"3OREP8RUT1AEOJWRYFHVGE90PHJGB9","http://wikidata.org/wiki/Q691037","Busoga","","A1GKEEI844CEKI","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 01:20:18 UTC 2014"
"3PN6H8C9R3P6TPH8QBGRFIMXU7IDA1","http://wikidata.org/wiki/Q854323","Punjabi people","","A26L95RMC7I9TB","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 04:13:57 UTC 2014"
"3T2EL38U0LJCEBT667EPZP4UE7GQXN","http://wikidata.org/wiki/Q4057928","Adhola people","","A1GKEEI844CEKI","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 01:31:12 UTC 2014"
"3GKAWYFRAOSDGTNAFUYO5DBSTTIDPH","http://wikidata.org/wiki/Q2883527","Banu Abs","","A2QH1BQA6GR48O","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 09:47:56 UTC 2014"
"3VJ4PFXFJ26SARSUC66GPIQLG7DAU8","http://wikidata.org/wiki/Q23792","Palestine","","A1GKEEI844CEKI","Islamic","A26L95RMC7I9TB","Islamic","Yes","Islamic","Wed Oct 29 02:23:07 UTC 2014"
"3FO95NVK5BZ4UVM7PCX257X7VEFSRH","http://wikidata.org/wiki/Q1453289","Alakozai","","A1GKEEI844CEKI","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 03:50:09 UTC 2014"
"3R15W654VCSHEHCHSOB1OV977Y6LQW","http://wikidata.org/wiki/Q7523309","Singaporean nationality law","","A1GKEEI844CEKI","South Asia","A3HB9PPUZU565U","South Asia","Yes","South Asia","Wed Oct 29 01:26:39 UTC 2014"
"3N2YPY1GI5XVDJY6X1I7HNIVFTJVEC","http://wikidata.org/wiki/Q178630","Portuguese people","","A26L95RMC7I9TB","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 08:06:42 UTC 2014"
"3AXFSPQOYPXES2Y8BNOUWHS1W7SFJU","http://wikidata.org/wiki/Q889","Afghanistan","","A1GKEEI844CEKI","Islamic","A2WNW8A4MOR7T7","Islamic","Yes","Islamic","Wed Oct 29 03:44:44 UTC 2014"
"3SA4EMRVJU1JH9MG3IATQ6R9Z490PB","http://wikidata.org/wiki/Q4969441","British American","","A26L95RMC7I9TB","English-speaking","A3I9UOCM5EXMR2","English-speaking","Yes","English-speaking","Wed Oct 29 04:28:14 UTC 2014"
"391FPZIE4BL7KE08ICG864DPT22HUP","http://wikidata.org/wiki/Q1375066","Pitjantjatjara people","","A26L95RMC7I9TB","English-speaking","A2P6VK1US8OTC5","English-speaking","Yes","English-speaking","Wed Oct 29 05:46:35 UTC 2014"
"3MNJFORX8A36L3JNMLK0V79WE6X5FY","http://wikidata.org/wiki/Q2046097","Paez people","","A1GKEEI844CEKI","Latin America","A26L95RMC7I9TB","Latin America","Yes","Latin America","Wed Oct 29 03:24:58 UTC 2014"
"3P888QFVX2TPK2FE5GRTGCD123BQOI","http://wikidata.org/wiki/Q290201","Toraja","","A1GKEEI844CEKI","South Asia","A26L95RMC7I9TB","South Asia","Yes","South Asia","Wed Oct 29 14:02:33 UTC 2014"
"341H3G5YFZDDVDOMQR8VH4TN93GZ0V","http://wikidata.org/wiki/Q7285855","Rajasthani","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:33:15 UTC 2014"
"3PZDSVZ3J4G0DCS464K3YKCRG1NN4H","http://wikidata.org/wiki/Q1974839","Chinese Filipino","","A1GKEEI844CEKI","South Asia","A3HB9PPUZU565U","South Asia","Yes","South Asia","Wed Oct 29 01:18:43 UTC 2014"
"3WRAAIUSBIYKRVMPHBH39PPPAPUAX0","http://wikidata.org/wiki/Q252","Indonesia","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:04:17 UTC 2014"
"3APP19WN70D8I7FW2O0N5YN8BG8G6O","http://wikidata.org/wiki/Q397","Latin","","A1GKEEI844CEKI","Latin America","A2WNW8A4MOR7T7","Latin America","Yes","Latin America","Wed Oct 29 04:10:23 UTC 2014"
"3S8A4GJRD22R045RRJZ95ZQIYVVV6R","http://wikidata.org/wiki/Q1434198","Yana people","","A1GKEEI844CEKI","English-speaking","A2WNW8A4MOR7T7","English-speaking","Yes","English-speaking","Wed Oct 29 12:49:55 UTC 2014"
"3J9UN9O9J2RNVYJI8559TA5XQ530JB","http://wikidata.org/wiki/Q38","Italy","","A26L95RMC7I9TB","Catholic European","A3HSMUPSPOKD0M","Catholic European","Yes","Catholic European","Wed Oct 29 02:27:13 UTC 2014"
"3MQKOF1EE1N302KBRGCJX7JOMQLDWC","http://wikidata.org/wiki/Q3473575","Sardinian","","A26L95RMC7I9TB","Catholic European","A2WNW8A4MOR7T7","Catholic European","Yes","Catholic European","Wed Oct 29 02:22:58 UTC 2014"
"3K3G488TR173CS9W01VU76DAL85Q5C","http://wikidata.org/wiki/Q1905026","Madi people","","A2WNW8A4MOR7T7","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 04:10:19 UTC 2014"
"37S0QRNUFAFGT6S2C5LXXZ21TSL88M","http://wikidata.org/wiki/Q255872","Ojibwe people","","A1GKEEI844CEKI","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:04:46 UTC 2014"
"3BO3NEOQMZGN10XUIPH26F2AMCQAI0","http://wikidata.org/wiki/Q804430","Kiga people","","A2WNW8A4MOR7T7","Africa","A3HSMUPSPOKD0M","Africa","Yes","Africa","Wed Oct 29 01:14:27 UTC 2014"
"3IKDQS3DQDZBUFUS23DTCASYMFBICA","http://wikidata.org/wiki/Q1983634","Oriya people","","A1GKEEI844CEKI","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:08:16 UTC 2014"
"3IQ9O0AYW5YSGWW3OP8J1KS2A1BTI4","http://wikidata.org/wiki/Q51705","Muscogee people","","A1GKEEI844CEKI","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 01:13:08 UTC 2014"
"3LAZVA75NHQ8SJDT351SKUFYMXXO22","http://wikidata.org/wiki/Q34069","Ashkenazi Jews","","A1GKEEI844CEKI","Protestant European","A2BO8M77CS3SGZ","Protestant European","Yes","Protestant European","Wed Oct 29 03:38:50 UTC 2014"
"3EHIMLB7F6Y9MHTVF9F3ACV0WBB8H1","http://wikidata.org/wiki/Q3266335","Lugbara","","A1GKEEI844CEKI","Africa","A2WNW8A4MOR7T7","Africa","Yes","Africa","Wed Oct 29 08:23:19 UTC 2014"
"3BVS8WK9QZUSKA2MO3HY1QMG4UBIB3","http://wikidata.org/wiki/Q1130350","Minangkabau people","","A2WNW8A4MOR7T7","South Asia","A3HSMUPSPOKD0M","South Asia","Yes","South Asia","Wed Oct 29 01:47:37 UTC 2014"
"3S8APUMBJWI8AJ0WNVBDYT9OO2JBF5","http://wikidata.org/wiki/Q4387218","Rajasthani people","","A2WNW8A4MOR7T7","South Asia","A3I9UOCM5EXMR2","South Asia","Yes","South Asia","Wed Oct 29 05:22:21 UTC 2014"
"3JUDR1D0D5QBDVQ9IITW9ZAY1YEQ2B","http://wikidata.org/wiki/Q31230","Chechens","","A1GKEEI844CEKI","Orthodox","A3HSMUPSPOKD0M","Orthodox","Yes","Orthodox","Wed Oct 29 01:04:47 UTC 2014"
"3DWGDA5POE3WTI4ULDNSA3Z1QKFV1T","http://wikidata.org/wiki/Q117244","Arawak peoples","","A1GKEEI844CEKI","English-speaking","A26L95RMC7I9TB","English-speaking","Yes","English-speaking","Wed Oct 29 04:51:35 UTC 2014"
"3NZ1E5QA6Y0G8M77HJY4CHIBZ855BG","http://wikidata.org/wiki/Q1146100","Chinese American","","A26L95RMC7I9TB","English-speaking","A3HSMUPSPOKD0M","English-speaking","Yes","English-speaking","Wed Oct 29 03:59:18 UTC 2014"
"3R5OYNIC2B8KXIJ71KY3AHTEWF5PTB","http://wikidata.org/wiki/Q241","Cuba","","A1GKEEI844CEKI","Latin America","A2QBRIK4G0WCBE","Latin America","Yes","Latin America","Wed Oct 29 00:58:00 UTC 2014"
"37YYO3NWHCPKHC8SATH717U39AQCC1","http://wikidata.org/wiki/Q893594","Puerto Rican people","","A1GKEEI844CEKI","Latin America","A3HSMUPSPOKD0M","Latin America","Yes","Latin America","Wed Oct 29 01:32:41 UTC 2014"
